fathomable^unfathomable,fathomable
depravation^deprivation,depravation^deprivation
alleghenies(0)^allegheny's(0),alleghenies(0)^allegheny's(0)
alicea^alysia,alicea^alysia
brutalizes^utilizes,brutalizes^utilizes
gabrielsen(1)^gabrielson(1),gabrielsen(1)^gabrielson(1)
anonymous^synonymous,anonymous^synonymous
nakayama^takayama,nakayama^takayama
bangladeshi's^bangladeshis,bangladeshi's^bangladeshis
equitable(0)^inequitable,equitable(0)
assurances(0)^reassurances(1),assurances(0)
introduction(0)^reintroduction,introduction(0)
negotiate(1)^renegotiate,negotiate(1)
advisable^inadvisable(0),advisable
compromising^uncompromising,compromising
accredited^unaccredited,accredited
inventories^inventory's,inventories^inventory's
aesthetically^esthetically,aesthetically^esthetically
aggrandizement(0)^self-aggrandizement,aggrandizement(0)
prosecution's^prosecutions,prosecution's^prosecutions
conditional^unconditional,conditional
maneuvering^outmaneuvering,maneuvering
deregulation^overregulation^regulation^reregulation,regulation
denationalize^internationalize(0)^internationalize(1)^nationalize(0)^rationalize^renationalize,nationalize(0)^rationalize
demarino^dimarino,demarino^dimarino
intentional^unintentional,intentional
subcommander's^subcommanders,subcommander's^subcommanders
mauriello^tortoriello,mauriello
energizing^self-energizing,energizing
zapatista's^zapatistas,zapatista's^zapatistas
collectively^selectively,collectively^selectively
barbecueing^barbequeing,barbecueing^barbequeing
delegating^relegating,delegating^relegating
institution's^institutions^institutions',institution's^institutions^institutions'
decorated(1)^redecorated,decorated(1)
fatality(0)^hospitality,fatality(0)
america(1)^amerika^asiamerica^bankamerica^coastamerica^comerica^d'america^gardenamerica^healthamerica^marketamerica^midamerica^realamerica^superamerica^transamerica^westamerica,america(1)^amerika^comerica^d'america
montrealer's^montrealers,montrealer's^montrealers
prosecutor's^prosecutors,prosecutor's^prosecutors
houstonian(0)^houstonian(1),houstonian(0)^houstonian(1)
prohibition's^prohibitions,prohibition's^prohibitions
samudio^zamudio,samudio^zamudio
cooperations(0)^cooperations(1)^operation's^operations^operations',cooperations(1)^operation's^operations^operations'
accouterment^accoutrement,accouterment^accoutrement
calculating^recalculating,calculating
angelica(0)^angelika,angelica(0)^angelika
heretical^theoretical,heretical
aleksander(1)^aleksandr(1),aleksander(1)^aleksandr(1)
manzione^stanzione,manzione^stanzione
marketplace's^marketplaces,marketplace's^marketplaces
continental's^continentals(0),continental's^continentals(0)
alessandro(0)^d'alessandro(0),alessandro(0)^d'alessandro(0)
collateral^unilateral,collateral
archaeologists(1)^cardiologists(1)^epidemiologists(1)^geologists(1)^ideologists(1)^radiologists(1)^sociologists(1),geologists(1)
proficiency^self-sufficiency^sufficiency,proficiency^sufficiency
militaries^paramilitaries,militaries
devincenzo^divincenzo,devincenzo^divincenzo
satisfying^unsatisfying,satisfying
sabatista's^sabatistas^sabatistas',sabatista's^sabatistas^sabatistas'
experience^inexperience,experience
demetrius^dimitrius^dimitrius',demetrius^dimitrius^dimitrius'
opposition^proposition,opposition^proposition
television's^televisions,television's^televisions
burgomaster's^burgomasters,burgomaster's^burgomasters
paralyzes^sterilizes,paralyzes^sterilizes
executive^nonexecutive,executive
fashionable(0)^unfashionable,fashionable(0)
tsukamoto(0)^tsukamoto(1),tsukamoto(0)^tsukamoto(1)
fidelities^fidelity's,fidelities^fidelity's
distributing^redistributing(0),distributing
geremia^uremia,geremia^uremia
aloisio^daloisio,aloisio^daloisio
gloriously^laboriously^notoriously,gloriously
distributive^redistributive(0),distributive
kilometers(1)^millimeters,kilometers(1)^millimeters
zairian's^zairians,zairian's^zairians
etherington^heatherington^hetherington^weatherington^wetherington,etherington^heatherington^hetherington^weatherington^wetherington
developer's^developers^developers',developer's^developers^developers'
organizing^reorganizing,organizing
micheletti^nicoletti(1),micheletti^nicoletti(1)
reasonably^unreasonably^unseasonably,reasonably
heterodyne^superheterodyne,heterodyne
srinivasan(0)^srinivasan(1),srinivasan(0)^srinivasan(1)
democracies^democracy's,democracies^democracy's
accountable(0)^unaccountable,accountable(0)
deprecating^self-deprecating,deprecating
productively(0)^seductively,productively(0)^seductively
discovering^rediscovering,discovering
amphetamine^methamphetamine(0),amphetamine
military(0)^nonmilitary^paramilitary,military(0)
confirmation^reconfirmation,confirmation
rigorously^vigorously,rigorously^vigorously
decesare^dicesare,decesare^dicesare
collectible^uncollectable,collectible
kuramoto^muramoto,kuramoto^muramoto
powerpcs^powerpcs',powerpcs^powerpcs'
economists'^economists',economists'^economists'
debilitate^rehabilitate(0)^rehabilitate(1),debilitate
buthelezi^butulesi,buthelezi^butulesi
iranians^iranians,iranians^iranians
mcanally^mcanelly^mcannally,mcanally^mcanelly^mcannally
associate(1)^disassociate(1),associate(1)
atamian^mesopotamian,atamian
canadian^pancanadian,canadian
violinists^violinists^violinists,violinists^violinists^violinists
kallenberger^shallenberger,kallenberger^shallenberger
saturated(1)^unsaturated,saturated(1)
mississippi's^mississippis,mississippi's^mississippis
establishment's^establishments^establishment's^establishments,establishment's^establishments^establishment's^establishments
distribution^redistribution,distribution
deferential(1)^preferential(1),deferential(1)^preferential(1)
mathiasen^mathiason,mathiasen^mathiason
occupation^preoccupation,occupation
emphasizes(1)^overemphasizes,emphasizes(1)
orangutan's^orangutans^orangutan's^orangutans,orangutan's^orangutans^orangutan's^orangutans
dukakis'(1)^dukakises^dukakis's,dukakis'(1)^dukakises^dukakis's
automaker's^automakers^automakers',automaker's^automakers^automakers'
imitable^inimitable,imitable
unreadable^unreadable,unreadable^unreadable
juarez-espin(0)^juarez-espin(1),juarez-espin(0)^juarez-espin(1)
secretaries^secretary's,secretaries^secretary's
informative^uninformative,informative
alioto^galioto,alioto^galioto
brandenberger^brandenburger^landenberger,brandenberger^brandenburger^landenberger
archaeologists(0)^cardiologists(0)^epidemiologists(0)^geologists(0)^ideologists(0)^microbiologists(0)^radiologists(0)^sociologists(0),geologists(0)
adequately(0)^inadequately,adequately(0)
mcmonagle^mcmonigle,mcmonagle^mcmonigle
anesthesiology^archaeology^archeology^astrogeology^bacteriology^cardiology^embryology^epidemiology^etiology(0)^etiology(1)^genealogy^geology^ideology^kinesiology^physiology^radiology^sociology^theology,geology^theology
academies^academy's,academies^academy's
destefano^distefano,destefano^distefano
sarajevan's^sarajevans,sarajevan's^sarajevans
allowable^unallowable,allowable
european^indo-european,european
parasympathetic^sympathetic^unsympathetic,sympathetic
entertainment's^entertainments^entertainment's^entertainments,entertainment's^entertainments^entertainment's^entertainments
congregation's^congregations,congregation's^congregations
positioning^repositioning,positioning
amelio^damelio^emilio,amelio^damelio^emilio
comparable(0)^incomparable,comparable(0)
paganism^reaganism(0),paganism^reaganism(0)
aviacion^aviation^d'aviation,aviacion^aviation^d'aviation
appropriate(1)^misappropriate,appropriate(1)
buthelezi's^butulesi's,buthelezi's^butulesi's
environment's^environments,environment's^environments
clarifying^terrifying^verifying,clarifying^terrifying^verifying
commissioner's^commissioners,commissioner's^commissioners
hosakawa^hosokawa,hosakawa^hosokawa
benedetto^dibenedetto,benedetto
o'callaghan^ocallaghan,o'callaghan^ocallaghan
filibusters^fillibusters,filibusters^fillibusters
alessio^dalessio,alessio^dalessio
articulates^particulates,articulates^particulates
hamamoto^yamamoto,hamamoto^yamamoto
alliances^alliance's^alliances,alliances^alliance's^alliances
melatonin's^melatonins,melatonin's^melatonins
solicited^unsolicited,solicited
o'mahoney^omahoney^o'mahony^omahony,o'mahoney^omahoney^o'mahony^omahony
ostermeier^ostermeyer,ostermeier^ostermeyer
annotation^sanitation(0),annotation^sanitation(0)
americans^american's^americans'^americans^transamerican's,americans^american's^americans'^americans
dehydration^rehydration,dehydration^rehydration
dissemination^emanation^insemination,emanation
finocchio^ginocchio,finocchio^ginocchio
determination^extermination^germination^self-determination^termination,germination^termination
associates(0)^associates'(1),associates(0)^associates'(1)
curricular^extracurricular,curricular
illyrian^thraco-illyrian,illyrian
authorities'^authority's,authorities'^authority's
eisenberger^weisenberger^weisenberger,eisenberger^weisenberger^weisenberger
insensitivity^nativity^negativity^relativity,nativity
chattanooga^chattanuga,chattanooga^chattanuga
europeans^europeans',europeans^europeans'
capuano^rapuano,capuano^rapuano
indication^vindication,indication^vindication
angeleno(1)^angelino(0),angeleno(1)^angelino(0)
paladino^palladino^saladino,paladino^palladino^saladino
manufacture^remanufacture(1),manufacture
economics(0)^macroeconomics(0)^microeconomics,economics(0)
identify(1)^misidentify(1),identify(1)
adelphia's^philadelphia's,adelphia's
infantryman^infantrymen,infantryman^infantrymen
eligible(0)^intelligible^unintelligible,eligible(0)
caterpillar(0)^caterpiller(0),caterpillar(0)^caterpiller(0)
deregulated^nonregulated^overregulated^regulated(1)^unregulated,regulated(1)
mcclafferty^mcclaugherty^mclafferty,mcclafferty^mcclaugherty^mclafferty
identified(0)^unidentified,identified(0)
accuracy^inaccuracy,accuracy
chavarria^echavarria,chavarria
maradona^maradonna,maradona^maradonna
apportionment^reapportionment,apportionment
federico^frederico,federico^frederico
economic(1)^macroeconomic(1),economic(1)
preservation^reservation,preservation^reservation
vehemently^vehemently,vehemently^vehemently
vicencio^villavicencio,vicencio
constituents^constituents',constituents^constituents'
gagliano(0)^magliano^stagliano^vitagliano,gagliano(0)^magliano^stagliano
defilippo^difilippo,defilippo^difilippo
ferocity^generosity,ferocity
opposition's^oppositions^propositions,opposition's^oppositions^propositions
infiniti^infinity(1),infiniti^infinity(1)
nonprofessionals^professionals^professionals',professionals^professionals'
o'flaherty^oflaherty^o'flaherty^oflaherty,o'flaherty^oflaherty^o'flaherty^oflaherty
examiners^examiners',examiners^examiners'
mcelhiney^mcelhinney^mcelhinny,mcelhiney^mcelhinney^mcelhinny
describable^indescribable,describable
controversial^noncontroversial^uncontroversial,controversial
nationalist(0)^ultranationalist,nationalist(0)
industrial's^industrials^industrials',industrial's^industrials^industrials'
haliburton^halliburton,haliburton^halliburton
interplanetary^planetary^unsanitary,planetary
vasectomies^vasectomies,vasectomies^vasectomies
suprisingly(1)^surprisingly(0)^unsurprisingly,suprisingly(1)^surprisingly(0)
mcconaughey^mcconnaughey,mcconaughey^mcconnaughey
centenarian^planarian^seminarian^septuagenarian^veterinarian^veterinarian,planarian
acknowledgement(0)^acknowledgment(0),acknowledgement(0)^acknowledgment(0)
tuminello^tumminello,tuminello^tumminello
conditioning^reconditioning(0),conditioning
appalachian(1)^appellation^extrapolation,appalachian(1)^appellation
minutia^minutiae,minutia^minutiae
aliano^galiano^galliano^italiano,aliano^galiano^galliano
initialing^initialling,initialing^initialling
giovanni's(0)^g'vanni's,giovanni's(0)^g'vanni's
mammography^pomography,mammography^pomography
photographer's^photographers,photographer's^photographers
explainable^unexplainable,explainable
architecture's^architectures,architecture's^architectures
recipient's^recipients^recipients',recipient's^recipients^recipients'
favorable(0)^unfavorable,favorable(0)
delahanty^delahunty,delahanty^delahunty
liturgical^nonliturgical,liturgical
copyrighted^copywrited,copyrighted^copywrited
collosio's^colosio's,collosio's^colosio's
innuendoes^innuendos,innuendoes^innuendos
humanities(0)^humanities(1)^humanity's(0)^humanity's(1),humanities(0)^humanities(1)^humanity's(0)^humanity's(1)
journalistic^paternalistic,journalistic
nitrosamines^nitrosomines,nitrosamines^nitrosomines
ethology^ornithology,ethology
electrical^nonelectrical,electrical
disinformation^information(0)^misinformation,information(0)
biviano^viviano,biviano^viviano
ambrosio^dambrosio,ambrosio^dambrosio
situation's^situations,situation's^situations
dormitories^reformatories,dormitories
cohabitation^habitation^inhabitation,habitation
tomasetti^tomassetti,tomasetti^tomassetti
wienerschnitzel^wienerschnitzel,wienerschnitzel^wienerschnitzel
perpetrator's^perpetrators,perpetrator's^perpetrators
tamashiro^yamashiro,tamashiro^yamashiro
annuity(0)^continuity^ingenuity,annuity(0)
definitely^indefinitely,definitely
dispositions^predispositions,dispositions
information's^informations^information's^informations,information's^informations^information's^informations
insurance's^insurances,insurance's^insurances
denicola^dinicola,denicola^dinicola
palatable^unpalatable,palatable
critically(0)^politically(0)^uncritically(0),critically(0)
lubavitcher's^lubavitchers^lubavitcher's^lubavitchers,lubavitcher's^lubavitchers^lubavitcher's^lubavitchers
josefina(1)^josephina(1),josefina(1)^josephina(1)
kilometer(1)^millimeter,kilometer(1)^millimeter
aviano^ottaviano^saviano,aviano^saviano
dematteo^dimatteo,dematteo^dimatteo
devaluate^evaluate(0),devaluate^evaluate(0)
mcenaney^mcenany,mcenaney^mcenany
deregulate^reregulate,deregulate^reregulate
matrimony^patrimony,matrimony^patrimony
dalesandro^dalessandro,dalesandro^dalessandro
agonizing^antagonizing,agonizing
ventilated^ventilated,ventilated^ventilated
necessary^unnecessary,necessary
cautionary^precautionary,cautionary
presidencies^presidency's,presidencies^presidency's
republica^republika,republica^republika
facilities(1)^facility's,facilities(1)^facility's
resolution's^resolutions,resolution's^resolutions
atlantis'^atlantis'^atlantis's,atlantis'^atlantis'^atlantis's
archuleta^archuletta,archuleta^archuletta
decertify^recertify,decertify^recertify
teherani's^teheranis,teherani's^teheranis
underwriter's^underwriters^underwriters',underwriter's^underwriters^underwriters'
carolina^karolina,carolina^karolina
advantages(1)^disadvantages(0),advantages(1)
vladivostok^vladivostok,vladivostok^vladivostok
depositor's^depositors,depositor's^depositors
conceivable^inconceivable,conceivable
intefadeh(1)^intifada,intefadeh(1)^intifada
ariana^arianna,ariana^arianna
o'brenovich^obrenovich,o'brenovich^obrenovich
deficiency^efficiency^immunodeficiency^inefficiency,deficiency^efficiency
o'bradovich^obradovich,o'bradovich^obradovich
chiarelli^vecchiarelli,chiarelli
christiana^christianna,christiana^christianna
convertible^nonconvertible,convertible
balderrama^valderrama,balderrama^valderrama
hypothetically^pathetically(1)^sympathetically(1),pathetically(1)
excusable^inexcusable,excusable
deemphasizing^emphasizing^overemphasizing,emphasizing
precondition^recondition,precondition^recondition
economic(0)^macroeconomic(0)^microeconomic^noneconomic^socioeconomic^uneconomic,economic(0)
correctional^directional(0),correctional^directional(0)
paparazzi's^paparazzis,paparazzi's^paparazzis
charitably^veritably,charitably^veritably
preferences(0)^references(0),preferences(0)^references(0)
alleghenies(1)^allegheny's(1),alleghenies(1)^allegheny's(1)
available^unavailable,available
harmonia^philharmonia,harmonia
cydonia^idonia,cydonia^idonia
biotechnologies^biotechnology's^polytechnologies^technologies^technologies'^technology's,technologies^technologies'^technology's
johannesen^johannessen,johannesen^johannessen
o'callahan^ocallahan,o'callahan^ocallahan
avoidable^unavoidable,avoidable
caterpillar's^caterpiller's(1),caterpillar's^caterpiller's(1)
celebrities^celebrity's,celebrities^celebrity's
affirmation^reaffirmation,affirmation
illusionist's^illusionists(0),illusionist's^illusionists(0)
habitable^uninhabitable,habitable
continental(0)^intercontinental^pancontinental,continental(0)
donofrio^onofrio,donofrio^onofrio
believable^unbelievable,believable
daniello^giovanniello^ianniello^manganiello^romaniello^santaniello,daniello
introduces(0)^reintroduces,introduces(0)
ambassador's^ambassadors,ambassador's^ambassadors
kwiatkowski^piatkowski^swiatkowski,kwiatkowski^piatkowski^swiatkowski
gloriana^oriana,gloriana^oriana
feb^february(0),feb^february(0)
estimated(1)^overestimated^underestimated,estimated(1)
securities^securities'^security's,securities^securities'^security's
voracity^voracity,voracity^voracity
insupportable^supportable^unsupportable,supportable
pseudoscientific^scientific^unscientific,scientific
geranium^uranium,geranium^uranium
thomasine(0)^tomasine^tomasini,thomasine(0)^tomasine^tomasini
dedication^medication^rededication,dedication^medication
engebretsen^engebretson,engebretsen^engebretson
feodora^theodora,feodora^theodora
ecologist(0)^toxicologist,ecologist(0)
futility^utility,futility^utility
mcafferty^mccafferty,mcafferty^mccafferty
gaglione(1)^scaglione^tartaglione,gaglione(1)^scaglione
kaliszewski^maliszewski,kaliszewski^maliszewski
mcmanaman^mcmanamon,mcmanaman^mcmanamon
canadian's^canadians^canadians',canadian's^canadians^canadians'
analysis(0)^psychoanalysis(0),analysis(0)
activity(1)^hyperactivity^inactivity^interactivity(0)^interactivity(1)^retroactivity,activity(1)
utilicorp^utilicorp,utilicorp^utilicorp
obtainable^unobtainable,obtainable
economies(1)^economy's(1),economies(1)^economy's(1)
cocanino^coconino,cocanino^coconino
meriweather^meriwether^merriwether,meriweather^meriwether^merriwether
fruitopia^utopia,fruitopia^utopia
wanamaker^wannamaker,wanamaker^wannamaker
designation(0)^resignation(0),designation(0)^resignation(0)
)close-parentheses^)end-parentheses^(in-parentheses^(open-parentheses^(parentheses^parentheses,(parentheses^parentheses
shollenberger^sollenberger,shollenberger^sollenberger
neuropathy(0)^neuropathy(2),neuropathy(0)^neuropathy(2)
mythology^pathology,mythology^pathology
arbitragers^arbitragers',arbitragers^arbitragers'
nominally^phenomenally,nominally
bureaucracies^bureaucracy's,bureaucracies^bureaucracy's
permanente^permenante,permanente^permenante
corporation^incorporation^intercorporation^reincorporation,corporation
coalition's^coalitions,coalition's^coalitions
demaio(0)^dimaio,demaio(0)^dimaio
accurately^inaccurately,accurately
victoria's^victorias,victoria's^victorias
alcoholic^nonalcoholic,alcoholic
californian's^californians,californian's^californians
wittenmyer^wittenmyer,wittenmyer^wittenmyer
accouterments^accoutrements,accouterments^accoutrements
cardinale^cardinali,cardinale^cardinali
publication's^publications^publications',publication's^publications^publications'
authorizing^reauthorizing,authorizing
gregorian^pythagorean,gregorian
simulating^stimulating,simulating^stimulating
wy^wy,wy^wy
desperation(0)^respiration,desperation(0)^respiration
higgenbotham^higinbotham,higgenbotham^higinbotham
desirable(0)^undesirable,desirable(0)
emanuel^emmanuel,emanuel^emmanuel
genetically^phonetically,genetically^phonetically
spectacular^unspectacular,spectacular
education's^educations^education's^educations,education's^educations^education's^educations
disintegrated^integrated(1)^reintegrated,integrated(1)
conn.(1)^connecticut,conn.(1)^connecticut
fredericksen(0)^frederickson(0)^frederiksen,fredericksen(0)^frederickson(0)^frederiksen
degennaro^digennaro,degennaro^digennaro
hilariously^precariously^variously^vicariously,variously
allowances^disallowances,allowances
vasectomy^vasectomy,vasectomy^vasectomy
chronically(0)^electronically(0)^sardonically(0),chronically(0)
corp's^corp.'s^corp's^corp.'s,corp's^corp.'s^corp's^corp.'s
celerity^irregularity^popularity^regularity^similarity,celerity
anticipating^dissipating^participating,dissipating
unfortunates^unfortunates,unfortunates^unfortunates
amilia^rosamilia,amilia
degrazia^digrazia,degrazia^digrazia
laboratories^laboratories'^laboratory's,laboratories^laboratories'^laboratory's
certifying^recertifying,certifying
filibuster^fill-a-buster^fillibuster,filibuster^fill-a-buster^fillibuster
beligerent^belligerent,beligerent^belligerent
amendable^commendable,amendable^commendable
zepa^zepa^zepa,zepa^zepa^zepa
affiliates^affiliate's^affiliates,affiliates^affiliate's^affiliates
arbitrager^arbitrageur,arbitrager^arbitrageur
conservative^neoconservative^ultraconservative,conservative
xers^xers^xers,xers^xers^xers
blasingame^blassingame,blasingame^blassingame
articulate(1)^inarticulate,articulate(1)
detectable^undetectable,detectable
ecologists(0)^toxicologists(0),ecologists(0)
conventional^unconventional,conventional
simulated^stimulated(1),simulated^stimulated(1)
calamander^scalamandre(1),calamander^scalamandre(1)
formulated(1)^reformulated,formulated(1)
commodities^commodity's,commodities^commodity's
unsalable^unsaleable,unsalable^unsaleable
equality^inequality(0),equality
electorate's^electorates,electorate's^electorates
serafine^serafini^seraphine,serafine^serafini^seraphine
balentine^ballentine^galentine^gallentine,balentine^ballentine^galentine^gallentine
nonresidential(0)^presidential(1)^vice-presidential^vice-presidential,presidential(1)
herbarium(0)^herbarium(1),herbarium(0)^herbarium(1)
preparation^reparation^separation,preparation^reparation^separation
compatible^incompatible,compatible
visitation^visitation,visitation^visitation
binational^multinational(0),binational
manageable^unmanageable,manageable
scientific's^scientifics,scientific's^scientifics
corespondent^correspondent,corespondent^correspondent
ventilating^ventilating,ventilating^ventilating
exterminated^germinated^terminated(1),germinated^terminated(1)
acceptably(0)^unacceptably,acceptably(0)
deposition^redeposition,deposition
hockenberry^hockenbury,hockenberry^hockenbury
petruccelli^petrucelli,petruccelli^petrucelli
electronics^electronics'^microelectronics,electronics^electronics'
bernadino^bernardino(0),bernadino^bernardino(0)
sustainable^unsustainable,sustainable
mcconaghy^mcconaughy,mcconaghy^mcconaughy
artificially^beneficially^officially^unofficially,officially
masterbation^masturbation,masterbation^masturbation
competition's^competitions,competition's^competitions
prearranging^rearranging,prearranging^rearranging
perimeter^polarimeter,perimeter
governmental(1)^intergovernmental^nongovernmental,governmental(1)
desimone^disimone,desimone^disimone
preelection^reelection,preelection^reelection
definition^redefinition,definition
arbitrator's^arbitrators',arbitrator's^arbitrators'
development^redevelopment,development
hoshimoto^yoshimoto,hoshimoto^yoshimoto
agreeable^disagreeable,agreeable
o'donovan^odonovan,o'donovan^odonovan
affordable^unaffordable,affordable
gabriela^gabriella,gabriela^gabriella
choreographic^geographic^stereographic,geographic
diarrhea^diarrhoea,diarrhea^diarrhoea
fortunately(0)^unfortunately(0),fortunately(0)
delegation's^delegations,delegation's^delegations
ability^acceptability^adaptability^admissibility^affordability^amiability^applicability^availability(0)^capability^combinability(0)^combinability(1)^compatibility^comprehensibility^debility^deductibility^electability^feasibility^flexibility^inaccessibility^invisibility^irresponsibility^irritability^legibility^malleability^overwhelmability(0)^overwhelmability(1)^palatability^possibility^probability^rehability(0)^rehability(1)^reliability^responsibility^susceptibility^viability,ability^debility
efficiently^inefficiently,efficiently
academic^nonacademic,academic
activity(0)^radioactivity(0)^radioactivity(1)^reactivity,activity(0)
beligerence^belligerence,beligerence^belligerence
casselberry^castleberry,casselberry^castleberry
portfolio's^portfolios,portfolio's^portfolios
patriotic^unpatriotic,patriotic
fraternity(1)^maternity^paternity,fraternity(1)^maternity^paternity
calculated(1)^miscalculated^recalculated,calculated(1)
filomena^philomena,filomena^philomena
acropolis^necropolis,acropolis^necropolis
predecessor's^predecessors,predecessor's^predecessors
centralizing^decentralizing,centralizing
democratic^undemocratic,democratic
christenberry^christenbury,christenberry^christenbury
eisenhauer^eisenhower,eisenhauer^eisenhower
aspiration^exasperation,aspiration
deliverance(0)^self-deliverance,deliverance(0)
fortunately(1)^unfortunately(1),fortunately(1)
brutalizing^utilizing,brutalizing^utilizing
associate(3)^disassociate(0),associate(3)
enterprises^enterprises'^enterprises^enterprises'^enterprise's(3),enterprises^enterprises'^enterprises^enterprises'^enterprise's(3)
whistleblowers^whistleblowers,whistleblowers^whistleblowers
dominating^nominating^predominating,dominating^nominating
serafina^seraphina,serafina^seraphina
complemented^complimented,complemented^complimented
simulator^stimulator,simulator^stimulator
competitors^competitors'^competitors,competitors^competitors'^competitors
sarajevo's^sarejevo's,sarajevo's^sarejevo's
defiore^difiore(0),defiore^difiore(0)
banality^conditionality^constitutionality^criminality^functionality^nationality(1)^originality^personality^proportionality^rationality^seasonality(1),banality
emergency(0)^nonemergency,emergency(0)
decorating^redecorating,decorating
derflinger(0)^durflinger(0),derflinger(0)^durflinger(0)
slaughterhouses^waterhouse's,slaughterhouses^waterhouse's
considering^reconsidering,considering
janiszewski^staniszewski,janiszewski^staniszewski
accreditation^meditation^premeditation,meditation
aspirated^exasperated,aspirated
kalinoski^malinoski,kalinoski^malinoski
