contemporaries^temporaries,contemporaries
amplifications^certifications^classifications^diversifications(0)^diversifications(1)^fortifications^identifications(0)^identifications(1)^magnifications^modifications^notifications^qualifications^ramifications^specifications,amplifications^certifications^classifications^fortifications^magnifications^modifications^notifications^qualifications^ramifications^specifications
tantalizingly(0)^tantalizingly(1),tantalizingly(0)^tantalizingly(1)
chocolatology^cosmetology^dermatology^hematology(0)^hematology(1)^rheumatology,chocolatology^cosmetology^dermatology^hematology(0)^hematology(1)^rheumatology
degenerating^generating^regenerating^venerating,degenerating^regenerating
disabatino^sabatino,disabatino
augustinians^palestinians',augustinians^palestinians'
nonprofessional^professional^unprofessional,nonprofessional^unprofessional
preservationist^reservationist,preservationist^reservationist
collaborated(0)^elaborated,collaborated(0)^elaborated
cooperated(0)^cooperated(1)^operated,cooperated(0)
configuration^figuration^reconfiguration,configuration
depressurizing^pressurizing,depressurizing
appreciating^depreciating,appreciating^depreciating
abbreviation^alleviation^deviation,abbreviation^alleviation
obliterated^reiterated,obliterated^reiterated
iconography^oceanography,iconography^oceanography
discriminated(1)^eliminated(1),discriminated(1)^eliminated(1)
lagroceria(0)^lagroceria(1),lagroceria(0)^lagroceria(1)
serviceable^unserviceable^unserviceable,unserviceable^unserviceable
presbyterians(0)^presbyterians(1),presbyterians(0)^presbyterians(1)
manipulations^stipulations,manipulations
alessandrini^d'alessandrini,alessandrini^d'alessandrini
expatriation^repatriation,expatriation^repatriation
agglomeration^conglomeration,agglomeration^conglomeration
inseparable^irreparable,inseparable^irreparable
evaporated(1)^evaporated(3),evaporated(1)^evaporated(3)
disinclination^inclination,disinclination
debilitated^facilitated^rehabilitated(0)^rehabilitated(1),debilitated^facilitated
aberrational^generational^inspirational^intergenerational^operational,aberrational^generational^inspirational^operational
obliteration^reiteration,obliteration^reiteration
executioner's^executioners,executioner's^executioners
chemotherapy^hydrotherapy^immunotherapy^psychotherapy,chemotherapy^hydrotherapy^psychotherapy
apollinian^carolinian(1),apollinian^carolinian(1)
exterminator^terminator,exterminator
counterproductive(0)^counterproductive(1),counterproductive(0)^counterproductive(1)
appropriation^expropriation^misappropriation,appropriation^expropriation
hemiplegia(0)^paraplegia,hemiplegia(0)^paraplegia
immemorial^memorial,immemorial
counteroffensives(0)^counteroffensives(1),counteroffensives(0)^counteroffensives(1)
montevideo(0)^televideo,montevideo(0)^televideo
archaeological^archeological^astrological^biological^biotechnological^chronological^dermatological^ecological(0)^ecological(1)^epidemiological^eschatological^geological^gynecological^ideological^immunological^meteorological^methodological^morphological^mythological^neurological^ontological^pathological^pharmacological^phonological^physiological^psychological^radiological^sociological^technological^theological^topological^toxicological^virological,astrological^biological^chronological^ecological(0)^ecological(1)^geological^morphological^mythological^neurological^ontological^pathological^phonological^psychological^technological^theological^topological^virological
preservationists(2)^reservationists(2),preservationists(2)^reservationists(2)
devaluations^evaluations(0)^evaluations(1)^revaluations^valuations,devaluations^evaluations(0)^evaluations(1)
discriminated(0)^eliminated(0),discriminated(0)^eliminated(0)
agricultural(0)^horticultural,agricultural(0)^horticultural
aleatory^conciliatory(0),aleatory
extraordinary(0)^extraordinary(1)^ordinary,extraordinary(0)
deliberated^liberated,deliberated
reliable(1)^unreliable^unreliable,unreliable^unreliable
ornithological^serological^teleological,serological
)close-parentheses^)end-parentheses^(in-parentheses^(open-parentheses^(parentheses^parentheses,)close-parentheses^)end-parentheses^(in-parentheses
generalizations(0)^generalizations(1)^hospitalizations^mobilizations^nationalizations(0)^nationalizations(1)^recapitalizations^sterilizations(0),generalizations(1)^mobilizations^nationalizations(1)^sterilizations(0)
actuality^homosexuality^sensuality^spirituality,actuality^sensuality
exclusionary^illusionary,exclusionary^illusionary
critically(0)^politically(0)^uncritically(0),politically(0)^uncritically(0)
determinable^interminable^terminable,determinable^interminable
appropriations^expropriations,appropriations^expropriations
american(1)^transamerican^unamerican,transamerican^unamerican
demoralizing^moralizing,demoralizing
geriatricians^pediatricians,geriatricians^pediatricians
accelerating^decelerating,accelerating^decelerating
accreditation^meditation^premeditation,accreditation^premeditation
criminologists(1)^kremlinologists(1),criminologists(1)^kremlinologists(1)
dileonardo^leonardo,dileonardo
electrification^glorification(0)^indemnification^simplification,glorification(0)^simplification
matrilineal^patrilineal,matrilineal^patrilineal
celerity^irregularity^popularity^regularity^similarity,popularity^regularity^similarity
deflationary^disinflationary^inflationary^noninflationary^probationary^stationary^stationery,deflationary^inflationary^probationary
presbyterian(0)^presbyterian(1),presbyterian(0)^presbyterian(1)
congratulation^self-congratulation,congratulation
appropriated^expropriated^misappropriated,appropriated^expropriated
manipulating^stipulating,manipulating
michelangelo(0)^michelangelo(1),michelangelo(0)^michelangelo(1)
nonresidential(0)^presidential(1)^vice-presidential^vice-presidential,nonresidential(0)^vice-presidential^vice-presidential
nitroglycerin(0)^nitroglycerine(0),nitroglycerin(0)^nitroglycerine(0)
automatically(0)^diplomatically^dramatically(0)^mathematically(1)^systematically^thematically^undiplomatically,automatically(0)^diplomatically^mathematically(1)^systematically
counterbalances(0)^counterbalances(1),counterbalances(0)^counterbalances(1)
grammatical(1)^mathematical^problematical,mathematical^problematical
deregulated^nonregulated^overregulated^regulated(1)^unregulated,deregulated^nonregulated^unregulated
contractually^factually,contractually
criminologists(2)^kremlinologists(2),criminologists(2)^kremlinologists(2)
emaciating^ingratiating,emaciating^ingratiating
intermediates(0)^intermediates(2),intermediates(0)^intermediates(2)
collateralize^pastoralize,collateralize
superregionals'^superregionals,superregionals'^superregionals
disqualifying^qualifying,disqualifying
caledonia^macedonia(0)^macedonia(1)^new-caledonia,caledonia^macedonia(0)^macedonia(1)
irregularly^regularly,irregularly
investigator's^investigators^investigators',investigator's^investigators^investigators'
recognizable^unrecognizable,recognizable
confidentiality(0)^confidentiality(1)^congeniality^extraterritoriality^geniality^partiality^reality^triviality^unreality,geniality^partiality^triviality^unreality
fundamentalists(0)^instrumentalists(0),fundamentalists(0)^instrumentalists(0)
deontology^ontology,deontology
azerbaijani(0)^azerbaijani(1),azerbaijani(0)^azerbaijani(1)
documentary(1)^parliamentary(1)^supplementary(1),documentary(1)^parliamentary(1)^supplementary(1)
french-polynesia^polynesia,french-polynesia
attitudinal^latitudinal^longitudinal,attitudinal^latitudinal^longitudinal
abbreviated(0)^alleviated(0),abbreviated(0)^alleviated(0)
disembarkation^embarkation,disembarkation
evaporated(0)^evaporated(2),evaporated(0)^evaporated(2)
expressionistic^impressionistic,expressionistic^impressionistic
immorality^plurality,immorality
adventurism(0)^adventurism(1),adventurism(0)^adventurism(1)
bilaterally^multilaterally(0)^multilaterally(1),bilaterally
identifying(1)^misidentifying(1),identifying(1)
disobedience(1)^obedience,disobedience(1)
international's^internationals^international's,international's^internationals^international's
denationalize^internationalize(0)^internationalize(1)^nationalize(0)^rationalize^renationalize,denationalize^renationalize
imagination^pagination,imagination
multilateral(0)^plurilateral,multilateral(0)^plurilateral
cogeneration^regeneration,cogeneration^regeneration
associations^association's^associations^negotiations(0)^negotiations(1)^renegotiations,associations^association's^associations^negotiations(0)^negotiations(1)
fiorentino^florentino,fiorentino
anonymity^equanimity^unanimity(1),anonymity^equanimity^unanimity(1)
autobiographical^biographical^geographical^typographical,biographical^geographical^typographical
internationally(1)^internationally(3),internationally(1)^internationally(3)
overestimate^underestimate(0),overestimate^underestimate(0)
deoliveira^oliveira,deoliveira
congressionally(0)^professionally(0),congressionally(0)^professionally(0)
choreographer's^choreographers,choreographer's^choreographers
dissatisfaction^satisfaction(1),dissatisfaction
superintendant(0)^superintendent(0),superintendant(0)^superintendent(0)
administrator's^administrators,administrator's^administrators
america(1)^amerika^asiamerica^bankamerica^coastamerica^comerica^d'america^gardenamerica^healthamerica^marketamerica^midamerica^realamerica^superamerica^transamerica^westamerica,bankamerica^coastamerica^healthamerica^midamerica^realamerica^transamerica^westamerica
scatological^seismological,scatological^seismological
notoriety^variety,notoriety
dramatically(1)^emphatically(1)^fanatically(0)^mathematically(0)^pragmatically(0),dramatically(1)^emphatically(1)^fanatically(0)^pragmatically(0)
preliminary(0)^preliminary(1),preliminary(0)^preliminary(1)
optimization^victimization,optimization^victimization
dimercurio^mercurio,dimercurio
asymmetrical^geometrical^symmetrical,asymmetrical^geometrical
abomination^domination^nomination^renomination,abomination^renomination
capobianco^lobianco,capobianco
debilitating^facilitating^rehabilitating(0)^rehabilitating(1),debilitating^facilitating
cannibalization^capitalization^centralization^civilization^commercialization^decentralization^demoralization^denationalization^equalization^fertilization^generalization(0)^generalization(1)^globalization^industrialization^institutionalization^internationalization(0)^internationalization(1)^liberalization(0)^liberalization(1)^mobilization(1)^monopolization^normalization^radicalization^rationalization(0)^rationalization(1)^recapitalization^renationalization^socialization^sterilization(1),centralization^civilization^equalization^fertilization^generalization(1)^globalization^liberalization(1)^mobilization(1)^normalization^rationalization(1)^socialization^sterilization(1)
enterology^meteorology^mineralogy^numerology^urology,enterology^mineralogy^numerology
illiteracy^literacy,illiteracy
geriatrician^pediatrician,geriatrician^pediatrician
gerontology^micropaleontology^paleontology^scientology,gerontology^scientology
detoxification^gentrification^glorification(1)^misidentification(0)^misidentification(1)^mummification^specification,gentrification^glorification(1)^mummification^specification
capitalizations^civilizations^denationalizations^liberalizations(0)^liberalizations(1)^rationalizations(0)^rationalizations(1)^sterilizations(1),civilizations^liberalizations(1)^rationalizations(1)^sterilizations(1)
evaporator(0)^evaporator(1),evaporator(0)^evaporator(1)
insupportable^supportable^unsupportable,insupportable^unsupportable
unintentionally^unintentionally,unintentionally^unintentionally
protuberances(0)^protuberances(1),protuberances(0)^protuberances(1)
misrecognition^recognition(0),misrecognition
promiscuity(0)^promiscuity(1),promiscuity(0)^promiscuity(1)
irrevocable^revocable,irrevocable
hercegovina(0)^hercegovina(1)^herzegovina(0)^herzegovina(1),hercegovina(0)^hercegovina(1)^herzegovina(0)^herzegovina(1)
negotiators'^negotiator's^negotiators,negotiators'^negotiator's^negotiators
cooperations(0)^cooperations(1)^operation's^operations^operations',cooperations(0)
evaporation(0)^evaporation(1),evaporation(0)^evaporation(1)
enumerated^unenumerated,enumerated
annunziata^nunziata,annunziata
fundamentalists(1)^instrumentalists(1),fundamentalists(1)^instrumentalists(1)
compositional^depositional,compositional^depositional
instantiated^insubstantiated(1),instantiated
nonsectarian^sectarian,nonsectarian
capitalizing^recapitalizing,capitalizing
hercegovina's(0)^hercegovina's(1)^herzegovina's(0)^herzegovina's(1),hercegovina's(0)^hercegovina's(1)^herzegovina's(0)^herzegovina's(1)
inviolable^violable,inviolable
fundamentalists(3)^instrumentalists(3),fundamentalists(3)^instrumentalists(3)
acceleration^deceleration,acceleration^deceleration
criminology^terminology,criminology^terminology
disobedient(1)^obedient,disobedient(1)
perfectionism^protectionism(0)^protectionism(1),perfectionism^protectionism(0)^protectionism(1)
diamagnetic^paramagnetic,diamagnetic^paramagnetic
preservationists(0)^reservationists(0),preservationists(0)^reservationists(0)
port-victoria^victoria,port-victoria
commonality^dimensionality^impersonality^irrationality^nationality(0),commonality^nationality(0)
nonrefundable^refundable,nonrefundable
astronomically^economically(0)^economically(1)^ergonomically,astronomically^economically(0)^economically(1)^ergonomically
assassinating^fascinating,assassinating
invulnerable^vulnerable,invulnerable
refrigerator(0)^refrigerator(1),refrigerator(0)^refrigerator(1)
counterchallenges(0)^counterchallenges(1),counterchallenges(0)^counterchallenges(1)
superintendents^superintendent's^superintendents,superintendents^superintendent's^superintendents
gradualism^mutualism,gradualism^mutualism
archaeologist^cardiologist^epidemiologist^microbiologist^physiologist^radiologist^sociologist,archaeologist^cardiologist^physiologist^radiologist^sociologist
categorization^cauterization^characterization^computerization^miniaturization^polarization(1)^pressurization^reauthorization^singularization^vulgarization,cauterization^polarization(1)^pressurization^vulgarization
internacional(0)^international(0)^international(1)^internatonal(0)^internatonal(1),internacional(0)^international(0)^international(1)^internatonal(0)^internatonal(1)
insularity^unpopularity,insularity
corroborated^uncorroborated,corroborated
contamination^decontamination^examination^reexamination,contamination^examination
criminalization^decriminalization^deinstitutionalization^demobilization(1)^destabilization^hospitalization^legalization^localization^marginalization^mineralization^mobilization(0)^nationalization(0)^nationalization(1)^naturalization(0)^naturalization(1)^neutralization^panelization^personalization^revitalization^specialization^stabilization^sterilization(0)^utilization^visualization,legalization^localization^mobilization(0)^nationalization(1)^naturalization(1)^neutralization^panelization^specialization^stabilization^sterilization(0)^utilization^visualization
disoriented^oriented(1),disoriented
anonymously^synonymously,anonymously^synonymously
annuity(0)^continuity^ingenuity,continuity^ingenuity
intellectually(1)^intellectually(3),intellectually(1)^intellectually(3)
interrupted(1)^uninterrupted^uninterrupted,uninterrupted^uninterrupted
contemporary^temporary,contemporary
exterminating^terminating,exterminating
corporation's^corporations^corporations'^incorporation's^incorporations,incorporation's^incorporations
congregational^navigational,congregational^navigational
cogenerators^generator's^generators,cogenerators
surrealism's^surrealisms^surrealism's^surrealisms,surrealism's^surrealisms^surrealism's^surrealisms
metamorphasis^metamorphosis,metamorphasis^metamorphosis
accessibility^advisability^availability(1)^believability^comparability^credibility^culpability^deniability^dependability^desirability^disability(0)^durability^eligibility^enforceability^favorability^flammability^gullibility^inability^inevitability^instability^invincibility^invulnerability^liability^maneuverability(0)^maneuverability(1)^marketability^permeability^portability^predictability^profitability^readability^respectability^stability^suitability^survivability^sustainability^taxability^transferability^unavailability^unbreakability^unpredictability^unprofitability^unreliability^variability^visibility^vulnerability,credibility^culpability^disability(0)^durability^flammability^gullibility^inability^instability^liability^portability^readability^suitability^taxability^visibility
archaeologists(2)^cardiologists(2)^epidemiologists(2)^geologists(2)^ideologists(2)^microbiologists(1)^radiologists(2)^sociologists(2),archaeologists(2)^cardiologists(2)^ideologists(2)^radiologists(2)^sociologists(2)
americanization^canonization^christianization^communization^dehumanization^demonization^disorganization^ionization^mechanization^organization^reorganization^synchronization^unionization,canonization^christianization^communization^demonization^ionization^mechanization^organization^synchronization^unionization
anticipation(0)^anticipation(1)^participation,anticipation(0)^anticipation(1)^participation
eradicable^ineradicable,eradicable
dissemination^emanation^insemination,dissemination^insemination
quantifiable(0)^quantifiable(1),quantifiable(0)^quantifiable(1)
densitometer^magnetometer,densitometer^magnetometer
derogatory^interrogatory,derogatory
confectionary^confectionery,confectionary^confectionery
concessionary^discretionary^recessionary^retrocessionary,concessionary^discretionary^recessionary
abbreviating^alleviating^deviating,abbreviating^alleviating
experimentalist(1)^fundamentalist(1)^instrumentalist(1),fundamentalist(1)^instrumentalist(1)
disreputable^reputable,disreputable
culturalism^federalism(0)^liberalism(0)^multiculturalism^multilateralism(0)^naturalism(0)^pastoralism^supernaturalism^unilateralism,culturalism^federalism(0)^liberalism(0)^naturalism(0)^pastoralism
accelerated^decelerated,accelerated^decelerated
recuperative^vituperative^vituperative,recuperative^vituperative^vituperative
alkalinity^masculinity^salinity,alkalinity^masculinity
fundamentalists(2)^instrumentalists(2),fundamentalists(2)^instrumentalists(2)
disinformation^information(0)^misinformation,disinformation^misinformation
analyzing^reanalysing^tantalizing(1),reanalysing
allocated^misallocated^reallocated^unallocated,misallocated^reallocated^unallocated
satisfactory(1)^unsatisfactory,satisfactory(1)
irreversible^reversible(0),irreversible
manipulated^stipulated,manipulated
confindustria^industria,confindustria
aberration^collaboration^elaboration,collaboration^elaboration
choreographer^geographer,choreographer
deregulating^regulating,deregulating
adulterated^unadulterated,adulterated
kleptomaniac^nymphomaniac(0),kleptomaniac^nymphomaniac(0)
policyholder's^policyholders^policyholders',policyholder's^policyholders^policyholders'
americana's^americanas,americana's^americanas
devaluated^reevaluated,devaluated
subsidiaries^subsidiaries'^subsidiary's,subsidiaries^subsidiaries'^subsidiary's
sanseverino^severino,sanseverino
asymptomatic^symptomatic,asymptomatic
gerontologist^paleontologist,gerontologist
universities^university's,universities^university's
bibliography^choreography^geography^hagiography^historiography^phytogeography^radiography,bibliography^choreography^hagiography^radiography
industrialize^reindustrialize,industrialize
low-spiritedness^poor-spiritedness^public-spiritedness^spiritedness,low-spiritedness^poor-spiritedness
evaporating(0)^evaporating(1),evaporating(0)^evaporating(1)
hilariously^precariously^variously^vicariously,hilariously^precariously^vicariously
deregulator^regulator,deregulator
affiliated(1)^humiliated^unaffiliated,affiliated(1)^humiliated
advertorial^reportorial,advertorial^reportorial
deregulators^regulator's^regulators^regulators',deregulators
discoverable(0)^recoverable,discoverable(0)^recoverable
contractionary^reactionary,contractionary^reactionary
capitalized^recapitalized^uncapitalized,recapitalized^uncapitalized
interchangeable(0)^interchangeable(1),interchangeable(0)^interchangeable(1)
reanalyses^tantalizes(1),reanalyses
abnormality^formality^normality,abnormality
astronomical^economical(0)^economical(1)^uneconomical,astronomical^economical(0)^economical(1)
ophthalmologist(0)^ophthalmologist(1),ophthalmologist(0)^ophthalmologist(1)
nonrenewable^renewable,nonrenewable
disseminating^emanating,disseminating
dromomania(0)^megalomania^romania,dromomania(0)
negotiating^renegotiating,negotiating
misrecognizing^recognizing,misrecognizing
dilatation^facilitation^rehabilitation(0)^rehabilitation(1),facilitation
appreciation^depreciation,appreciation^depreciation
hypochondria^mitochondria,hypochondria^mitochondria
cosmopolitan^metropolitan^neapolitan,cosmopolitan^metropolitan^neapolitan
misinterpreted^reinterpreted,misinterpreted^reinterpreted
impropriety^propriety,impropriety
machiavellian(0)^machiavellian(1)^machivellian,machiavellian(1)^machivellian
washingtonian^washingtonian,washingtonian^washingtonian
nontransferable^transferable^transferrable,nontransferable
macromedia^metromedia,macromedia^metromedia
initiating^officiating,initiating^officiating
unilaterally^unilaterally,unilaterally^unilaterally
association(1)^negotiation^renegotiation,association(1)^negotiation
misunderstanding^understanding,misunderstanding
exploratory^oratory,exploratory
democratization^dramatization^magnetization^privatisation^privatization^securitization,dramatization^magnetization^privatisation^privatization
illegitimacy^legitimacy(0)^legitimacy(1),legitimacy(0)^legitimacy(1)
contaminated(1)^decontaminated,contaminated(1)
musicality^practicality,musicality^practicality
reverberating(0)^reverberating(1),reverberating(0)^reverberating(1)
distinguishable^indistinguishable,distinguishable
experimentally(0)^fundamentally(0)^incrementally(0)^monumentally(0)^ornamentally^temperamentally(0),fundamentally(0)^incrementally(0)^monumentally(0)^ornamentally^temperamentally(0)
inseparably^irreparably,inseparably^irreparably
giuliano^iuliano(0)^iuliano(1)^juliano^uliano,iuliano(0)
superintendant(1)^superintendent(1),superintendant(1)^superintendent(1)
conductivity^productivity(0)^superconductivity,conductivity^productivity(0)
experimentalist(0)^fundamentalist(0)^instrumentalist(0),fundamentalist(0)^instrumentalist(0)
consideration^reconsideration,consideration
contaminating^laminating,contaminating
intermediates(1)^intermediates(3),intermediates(1)^intermediates(3)
reasonably^unreasonably^unseasonably,unreasonably^unseasonably
papadopoulos(0)^papadopoulos(1),papadopoulos(0)^papadopoulos(1)
homeopathic^idiopathic,homeopathic^idiopathic
illumination^transillumination,illumination
devaluation(0)^devaluation(1)^evaluation(0)^evaluation(1)^overvaluation^reevaluation^undervaluation^valuation,devaluation(0)^devaluation(1)^evaluation(0)^evaluation(1)
confederation^federation,confederation
centenarian^planarian^seminarian^septuagenarian^veterinarian^veterinarian,centenarian^seminarian
acknowledgeable(0)^acknowledgeable(1),acknowledgeable(0)^acknowledgeable(1)
imperialist^materialist,imperialist^materialist
constabulary^vocabulary,constabulary^vocabulary
manufacturing^nonmanufacturing,manufacturing
degregorio^digregorio,degregorio^digregorio
hypothetically^pathetically(1)^sympathetically(1),hypothetically^sympathetically(1)
eligible(0)^intelligible^unintelligible,intelligible
counterproposal(0)^counterproposal(1),counterproposal(0)^counterproposal(1)
biochemistry^geochemistry,biochemistry^geochemistry
misrecognizes^recognizes(1),misrecognizes
evacuated(0)^evacuated(1),evacuated(0)^evacuated(1)
insubstantiate(1)^substantiate(1),insubstantiate(1)
daniello^giovanniello^ianniello^manganiello^romaniello^santaniello,giovanniello^ianniello^manganiello^romaniello^santaniello
ceremonial^matrimonial^testimonial,ceremonial^matrimonial^testimonial
meticulously^ridiculously,meticulously^ridiculously
organisations^organization's^reorganizations,organisations^organization's
cariello^fariello^pasquariello^picariello,pasquariello^picariello
experimentally(1)^fundamentally(1)^incrementally(1)^monumentally(2)^temperamentally(2),fundamentally(1)^incrementally(1)^monumentally(2)^temperamentally(2)
intolerable^tolerable,intolerable
idealistic^imperialistic^materialistic^realistic^surrealistic(1),idealistic^surrealistic(1)
alimentary^complimentary^documentary(0)^parliamentary(0)^rudimentary^sedimentary^supplementary(0)^testamentary,alimentary^complimentary^documentary(0)^parliamentary(0)^rudimentary^sedimentary^supplementary(0)^testamentary
corporation^incorporation^intercorporation^reincorporation,incorporation
volcanologists^volcanologists,volcanologists^volcanologists
cogenerator^generator,cogenerator
diguglielmo^guglielmo,diguglielmo
santa-maria(0)^santa-maria(1),santa-maria(0)^santa-maria(1)
depository^repository,depository^repository
degeneration^generation^veneration,degeneration
anticipations(0)^anticipations(1)^participations,anticipations(0)^anticipations(1)^participations
anemometer^dynamometer,anemometer^dynamometer
illegalities^legalities(0),illegalities
