bodeguita(1)^raghida,bodeguita(1)
arthurian^burian^centurion^epicurean(1)^gurian^gurion^kurian^missourian^pagurian^timurian^venturian,arthurian^centurion^missourian^pagurian^timurian^venturian
centennial's^perennials,centennial's^perennials
misremembered^remembered(1),misremembered
atavism^bolshevism^neopositivism,atavism^bolshevism
azerbaijan's(0)^azerbaijan's(1),azerbaijan's(0)^azerbaijan's(1)
comprehensively^defensively^expensively^extensively^inexpensively^intensively^offensively,defensively^expensively^extensively^intensively^offensively
iovine^provine,iovine
airworthiness^creditworthiness^trustworthiness,airworthiness^trustworthiness
disorderly^orderly,disorderly
benvenuti^venuti,benvenuti
impeachable^reachable^teachable^unimpeachable^unreachable,impeachable^unreachable
misrepresents(0)^represents(0),misrepresents(0)
curiouser^furiouser,curiouser^furiouser
canova^portanova^terranova,portanova^terranova
confidential(0)^credential(1)^nonresidential(0)^presidential(1)^vice-presidential^vice-presidential,confidential(0)^presidential(1)
biana^briana(1)^guiana^liana^lianna^marianna^sebastiana,marianna
dismembering^remembering(0)^remembering(1),dismembering^remembering(0)^remembering(1)
bancario^cerio^dario^desiderio^diario^dimperio^finanziario^naclerio^nerio^ontario^polisario^revolucionario^ruggerio^scenario^seminario^silverio^stereo^terrio,bancario^diario^dimperio^naclerio^ontario^ruggerio^scenario^silverio
nonessential^quintessential(1),nonessential^quintessential(1)
aluminio^arsenio^denio^eugenio^strenio^tarquinio,arsenio^eugenio^tarquinio
echolocation^evocation^location^vocation,evocation
o'sullivan^sullivan(0),o'sullivan
infomercial's^infomercials,infomercial's^infomercials
clodoveo^llovio,clodoveo
mirabito^morabito,mirabito^morabito
considering^reconsidering,considering
annually^conceptually^continually(0)^contractually^factually^gradually(0)^habitually(0)^individually(0)^intellectually(0)^intellectually(2)^manually^mutually^perpetually^semiannually(0)^semiannually(1)^sexually,annually^factually^gradually(0)^manually^mutually^sexually
counterfeited(0)^counterfeited(1),counterfeited(0)^counterfeited(1)
irreversible^reversible(0)^reversible(1),reversible(0)^reversible(1)
baldassare^baldassari^massari,baldassare^baldassari
davidian's^davidians^didion's^floridians^meridian's,davidian's^davidians^floridians^meridian's
vialpando^villalpando,vialpando^villalpando
delightfully^frightfully^rightfully,delightfully
compromises^customizes^epitomizes^itemizes^legitimizes^maximizes,compromises^customizes^itemizes^maximizes
antagonists(1)^protagonists(2),antagonists(1)^protagonists(2)
federated's^incorporated's,federated's
calaveras^cara'veras,calaveras^cara'veras
experiment's^experiments,experiment's^experiments
prerequisites^requisites,prerequisites
activision^subdivision^televison,activision^subdivision^televison
annual^emanuel^emmanuel^manual,emanuel^emmanuel
interrelated(1)^related(2)^unrelated^unrelated,unrelated^unrelated
dislocation^relocation,dislocation^relocation
identity(2)^obscenity,identity(2)^obscenity
nonpacifists(1)^pacifists(1),nonpacifists(1)
cylindrical(0)^cylindrical(1)^semicylindrical(0)^semicylindrical(1)^semicylindrical(2),cylindrical(0)^cylindrical(1)
adventurers(0)^adventurers(1),adventurers(0)^adventurers(1)
defterios^ontario's^scenarios^stereos,defterios^ontario's^scenarios
interfunding^overfunding^underfunding,interfunding^overfunding^underfunding
hirayama^katayama^nakayama^takayama,hirayama^katayama^nakayama^takayama
avolio^bolio^dellolio^oleo^polio^portfolio^volio,avolio^dellolio^portfolio
fortino^sciortino^sortino,sciortino
unusually^unusually^unusually,unusually^unusually^unusually
basilica(0)^silica(1),basilica(0)
cupidity^illiquidity^liquidity(1)^lividity^lucidity^rancidity^stupidity^validity^validity,cupidity^liquidity(1)^lividity^lucidity^rancidity^stupidity^validity^validity
acknowledging(0)^acknowledging(1),acknowledging(0)^acknowledging(1)
honorific^terrific,honorific
conoco(0)^mcconico^monaco,mcconico
angermeier^cammermeyer^niedermeier^niedermeyer^obermeier^obermeyer^ostermeier^ostermeyer^sundermeyer^westermeyer,angermeier^cammermeyer^niedermeier^niedermeyer^obermeier^obermeyer^ostermeier^ostermeyer^sundermeyer^westermeyer
condition^precondition^recondition,precondition^recondition
disobeying^obeying,disobeying
empirical^lyrical^satirical(1),empirical^satirical(1)
adriana^andriana^ariana^arianna^briana(0)^brianna^christiana^christianna^cusiana^deana^deanna^fianna^georgiana^gloriana^ileana^indiana^italiana^juliana^lapiana^liliana^lilliana^louisiana^mariana^nelliana^oceana^oriana^piana^piano(1)^pollyanna^tatiana(0)^triana^viana^viviana,adriana^andriana^ariana^arianna^christiana^christianna^cusiana^georgiana^gloriana^ileana^indiana^juliana^lapiana^liliana^lilliana^mariana^nelliana^oceana^oriana^pollyanna^tatiana(0)^viviana
andreotti(0)^braggiotti^candiotti^capriati,andreotti(0)^braggiotti^candiotti^capriati
bolivia(0)^bolivia(1)^livia^olivia^trivia,bolivia(0)^bolivia(1)^olivia
iranians^iranians,iranians^iranians
intermissions^permissions,intermissions
energetic^synergetic,energetic^synergetic
alberico^cherico(0)^cherico(1)^errico^federico^frederico^talerico^tallerico,alberico^federico^frederico^talerico^tallerico
disintegrates^integrates(0),disintegrates
fidelity(0)^fidelity(1),fidelity(0)^fidelity(1)
amorita^dolorita^lorita^maurita^morita,amorita^dolorita
jurkiewicz^jurkovich^mazurkiewicz^perkovic^perkovich^turkovich^yurkovich,mazurkiewicz
noticeable^serviceable^unserviceable^unserviceable,noticeable^serviceable
datacopy(0)^datacopy(1),datacopy(0)^datacopy(1)
bedrosian(1)^bozian^philibosian,bedrosian(1)
bonfiglio^coniglio^giglio^reviglio,bonfiglio^coniglio^reviglio
europium^opium,europium
balzarini^carine^carini^garbarini^gasparini^guarini^larine^lazzarini^marini^sarine,balzarini^garbarini^gasparini^lazzarini
anticipates^dissipates^participates,anticipates^participates
colantuono^dantuono,colantuono
octahedral^tetrahedral,octahedral^tetrahedral
congressionally(1)^professionally(1),congressionally(1)^professionally(1)
credible^edible^incredible^inedible,incredible^inedible
suburbanite^urbanite,suburbanite
akiyama^fujiyama^kashiyama^nishiyama^sugiyama,akiyama^fujiyama^kashiyama^nishiyama^sugiyama
cemeteries^dignitaries^militaries^paramilitaries^proprietaries^secretaries^secretary's^tributaries,cemeteries^dignitaries^militaries^secretaries^secretary's^tributaries
retaliate(0)^retaliate(1),retaliate(0)^retaliate(1)
dispirited^low-spirited,dispirited^low-spirited
authorities^majority's^minorities(0)^minorities(1)^priorities^sororities,authorities^majority's^minorities(0)^minorities(1)^priorities^sororities
activated(0)^aggravated(0)^cultivated(0)^motivated^salivated,activated(0)^aggravated(0)^cultivated(0)^motivated^salivated
marketplace's^marketplaces,marketplace's^marketplaces
overstatement^understatement,overstatement^understatement
manufactured^remanufactured(1),manufactured
nontechnical^technical,nontechnical
counterrevolt(0)^counterrevolt(1),counterrevolt(0)^counterrevolt(1)
actually(0)^casually(0)^eventually(0)^eventually(2)^spiritually,actually(0)^casually(0)
intractable^retractable^tractable^tractebel,intractable^retractable
atmospheric^ionospheric,atmospheric
luxurious^spurious(1),luxurious
interceding^superseding,interceding^superseding
resurfacing^surfacing,resurfacing
prophylactic(0)^prophylactic(1),prophylactic(0)^prophylactic(1)
limited(1)^ltd(0)^unlimited^unlimited,unlimited^unlimited
astoundingly^resoundingly,astoundingly^resoundingly
resuscitate(0)^resuscitate(1),resuscitate(0)^resuscitate(1)
overpower^superpower^underpower,overpower^superpower^underpower
capetillo^petillo,capetillo
centimeter^gravimeter^kilometer(1)^millimeter,centimeter^gravimeter^kilometer(1)^millimeter
fundamentals(0)^instrumentals(0),fundamentals(0)^instrumentals(0)
andolina^colina^nicolina^pollina,andolina^nicolina
categorical(1)^historical^metaphorical^morrical^rhetorical,historical^rhetorical
activating^aggravating^elevating^excavating^motivating^renovating^salivating,activating^aggravating^elevating^excavating^motivating^renovating^salivating
concatenate^latinate,concatenate
introduction(0)^overproduction^production(0)^reduction(0)^reintroduction^reproduction,introduction(0)^reproduction
srivastava(0)^srivastava(1),srivastava(0)^srivastava(1)
embellishes^relishes(0),embellishes
atorino^caterino^cerino^cirino^marino^merino^perino^sanseverino^sciarrino^serino^severino,atorino^caterino^severino
commodious^melodious^odious,commodious^melodious
argentina's^argentinas,argentina's^argentinas
amenity^identity(3)^serenity,amenity^identity(3)^serenity
delorenzo(0)^delorenzo(1)^dilorenzo,delorenzo(0)^delorenzo(1)^dilorenzo
illustrious^industrious,illustrious^industrious
duplicative^indicative,duplicative^indicative
ariella^gabriela^gabriella,ariella^gabriela^gabriella
disrespectful^respectful,disrespectful
compatible^incompatible,compatible
arable^bearable^comparable(1)^marable^parable^repairable^terrible^unbearable^wearable,comparable(1)^repairable^unbearable
disabling(0)^enabling(0)^enabling(1)^labeling(0)^mislabeling(0)^tabling(0),disabling(0)^enabling(0)^enabling(1)^mislabeling(0)
collateralize^federalize(0)^generalize^liberalize(0)^mineralize^naturalize(0)^pastoralize,federalize(0)^generalize^liberalize(0)^mineralize^naturalize(0)^pastoralize
mononuclear^nonnuclear^nuclear^thermonuclear,nonnuclear
editorialize^industrialize^materialize^memorialize^reindustrialize^serialize^trivialize(0),serialize^trivialize(0)
vesuvius^vitruvius,vesuvius^vitruvius
collosio's^colosio's,collosio's^colosio's
farese^matarese^savarese,matarese^savarese
abrahamian^atamian^bahamian^barsamian^damian^damien^mesopotamian,atamian^bahamian^barsamian
actively^attractively^proactively^retroactively,attractively^proactively
acknowledges(0)^acknowledges(1)^college's^colleges^colleges',acknowledges(0)^acknowledges(1)
evaluating(0)^evaluating(1)^extenuating^graduating(1)^infatuating^insinuating^reevaluating^self-perpetuating,graduating(1)
implausible^plausible,implausible
advertorials^editorial's^editorials^memorials^tutorials,memorials^tutorials
intangibles^tangibles,intangibles
bionetics^helionetics,bionetics
delahanty^delahunty^dillahunty,delahanty^delahunty^dillahunty
azzarello^chiarello^muscarello^pasquarello,azzarello^chiarello^muscarello^pasquarello
enea^ennea^millennia^parthenia,millennia^parthenia
cemetery(0)^cometary^dietary^dignitary^hereditary^interplanetary^military(0)^monetary^nonmilitary^paramilitary^pituitary(0)^planetary^proprietary^salutary^secretary^solitary^tributary^unsanitary,cemetery(0)^cometary^dietary^dignitary^military(0)^monetary^planetary^salutary^secretary^solitary^tributary
contractual^factual,contractual
underwriter's^underwriters^underwriters',underwriter's^underwriters^underwriters'
acquiring(1)^desiring^inquiring^inspiring(1)^requiring(0)^retiring(1)^rewiring^spiering^transpiring,acquiring(1)^desiring^inquiring^inspiring(1)^requiring(0)^retiring(1)^rewiring^transpiring
dauenhauer^eisenhauer^eisenhower^icenhower(0)^icenhower(1),dauenhauer^eisenhauer^eisenhower^icenhower(0)^icenhower(1)
geothermal^hydrothermal,geothermal^hydrothermal
acuity^ambiguity^annuity(0)^congruity^continuity^ingenuity^promiscuity(0)^promiscuity(1),acuity^annuity(0)^congruity
risenhoover(0)^risenhoover(1),risenhoover(0)^risenhoover(1)
disputable^immutable^indisputable^inscrutable^irrefutable^mutable^suitable^unsuitable,disputable^immutable^inscrutable^unsuitable
dominelli's(0)^dominelli's(1),dominelli's(0)^dominelli's(1)
twentysomethings(0)^twentysomethings(1),twentysomethings(0)^twentysomethings(1)
balodia^cambodia^plasmodia^rhodia,balodia^cambodia^plasmodia
chimerical^clerical(0)^numerical(0),chimerical^numerical(0)
exploration(1)^oration,exploration(1)
alitalia(0)^centralia^galea^ofelia^portugalia,centralia^ofelia
animosity^atrocity^curiosity^ferocity^generosity^monstrosity^religiosity^velocity^viscosity,atrocity^ferocity^monstrosity^velocity^viscosity
administrator^illustrator^telestrator^telustrator(0)^telustrator(1),illustrator^telestrator^telustrator(0)^telustrator(1)
beatified^gratified^ratified^stratified,beatified
cracchiolo^magliolo^monticciolo^prioleau^priolo^riolo^triolo,cracchiolo^magliolo
entertainer(0)^entertainer(1),entertainer(0)^entertainer(1)
powerpcs^powerpcs',powerpcs^powerpcs'
conversationalist^institutionalist^nationalist(0)^ultranationalist,nationalist(0)
avella^caravella^taravella,caravella^taravella
almendarez^armendarez,almendarez^armendarez
ambiguous^contiguous,ambiguous^contiguous
anthropologists(1)^archaeologists(0)^cardiologists(0)^climatologists(0)^climatologists(1)^criminologists(0)^dermatologists(0)^ecologists(0)^ecologists(1)^epidemiologists(0)^geologists(0)^ideologists(0)^kremlinologists(0)^meteorologist's^meteorologists(0)^microbiologists(0)^oncologists(0)^ophthalmologists(0)^ophthalmologists(2)^paleontologists(0)^pharmacologists(0)^radiologists(0)^sociologists(0)^sovietologists(0)^technologists(0)^toxicologists(0),ecologists(0)^ecologists(1)^geologists(0)^oncologists(0)^technologists(0)
mercurial^murial^muriel,mercurial
continental(0)^intercontinental^pancontinental,continental(0)
ambitiously^expeditiously^surreptitiously^suspiciously^viciously,ambitiously^suspiciously
chiusano^cusano,chiusano
contributors^distributors^distributors',contributors^distributors^distributors'
excusable^fusible^inexcusable^reusable^unusable^usable,excusable^reusable^unusable
alimony^aramony(0)^aramony(1)^ceremony^matrimony^parsimony^patrimony^testimony,alimony^aramony(0)^aramony(1)^ceremony^matrimony^parsimony^patrimony^testimony
capriciously^judiciously^maliciously,capriciously^judiciously^maliciously
abortionist^extortionist,abortionist^extortionist
militarists(2)^monetarists(2),militarists(2)^monetarists(2)
avocado^incommunicado^yokado,avocado
corespondent^correspondent,corespondent^correspondent
vaapenfabrikk^vaapenfabrikk,vaapenfabrikk^vaapenfabrikk
compassionate^dispassionate^passionate,compassionate^dispassionate
geodesic^teledesic,geodesic^teledesic
delorean^dorian^ecuadorean^ecuadorian^florian^gregorian^historian^hyperborean^ivorian^kerkorian^krikorian^lorean^nestorian^praetorian^pythagorean^salutatorian^singaporean^torian^torreon^valedictorian^victorian,delorean^gregorian^historian^ivorian^kerkorian^krikorian^nestorian^praetorian^victorian
accumulated^annihilated^assimilated^calculated(1)^capitulated^circulated(1)^congratulated^deregulated^emulated^encapsulated^escalated^extrapolated^formulated(1)^inoculated^insulated(1)^interpolated^isolated(1)^manipulated^miscalculated^mutilated(1)^nonregulated^overpopulated^overregulated^recalculated^reformulated^regulated(1)^simulated^speculated(1)^stimulated(1)^stipulated^tabulated^tesselated^titillated^unregulated^vacillated^ventilated^ventilated^violated,calculated(1)^circulated(1)^emulated^escalated^formulated(1)^insulated(1)^isolated(1)^mutilated(1)^regulated(1)^simulated^speculated(1)^stimulated(1)^stipulated^tabulated^tesselated^titillated^vacillated^ventilated^ventilated^violated
disbelieving^unbelieving,disbelieving^unbelieving
artino^demartino^dimartino^martino^sammartino,demartino^dimartino^sammartino
arakaki^takaki,arakaki
damietta^henrietta^julietta^marietta^societa,damietta^henrietta^julietta^marietta^societa
freemasonry^masonry,freemasonry
amnesiac^aphrodisiac,amnesiac
idealized^realized(1)^unrealized,idealized^unrealized
buccellato^stellato,buccellato
astigmatism^conservatism^corporatism^despotism^dogmatism^egotism^electromagnetism^ergotism^ferromagnetism^helotism^hypnotism^magnetism^nepotism^patriotism^pragmatism^rheumatism^separatism^stigmatism,despotism^dogmatism^egotism^ergotism^helotism^hypnotism^magnetism^nepotism^pragmatism^rheumatism^stigmatism
anglemyer^kinzlmaier^stottlemyer,anglemyer^kinzlmaier^stottlemyer
nonunionized^unionized,nonunionized
sarajevan's^sarajevans,sarajevan's^sarajevans
archenemy^enemy^mcmenamy^mcmenemy,archenemy^mcmenamy^mcmenemy
interceptions(0)^interceptions(1)^misperceptions^perceptions,interceptions(0)^interceptions(1)^misperceptions
allophonic^monophonic^telephonic,allophonic^monophonic^telephonic
agronomists(0)^economists'^economists',agronomists(0)^economists'^economists'
bonica^donica^harmonica^japonica(1)^konica^microelettronica^monica^telefonica^veronica,harmonica^japonica(1)^veronica
esposito^exposito(1),esposito^exposito(1)
diagonal^hexagonal^octagonal,diagonal^hexagonal^octagonal
eminently^imminently^permanently^predominantly^prominently,eminently^imminently^permanently^prominently
associates(3)^negotiates,associates(3)^negotiates
probationers^stationers^vacationers^vacationers',probationers^vacationers^vacationers'
vladivostok^vladivostok,vladivostok^vladivostok
gianini^giannini^paganini^toscanini,paganini^toscanini
fredericksen(0)^frederickson(0)^frederiksen,fredericksen(0)^frederickson(0)^frederiksen
sabatista's^sabatistas^sabatistas'^zapatista's^zapatistas,sabatista's^sabatistas^sabatistas'^zapatista's^zapatistas
calahan^callaghan^callahan^gallahan^hallahan^o'callahan^ocallahan,o'callahan^ocallahan
aragona^ragona^sagona,aragona
arbitrating^penetrating^perpetrating,arbitrating^penetrating^perpetrating
andantino^contino^costantino^infantino^passantino^santino^tarantino,andantino^costantino^infantino^passantino^tarantino
twentysomething(0)^twentysomething(1),twentysomething(0)^twentysomething(1)
cameron's^camerons^catamarans^tamarins,catamarans
cenozoic^mesozoic^paleozoic,cenozoic^mesozoic
bureaucracies^bureaucracy's^democracies^democracy's,bureaucracies^bureaucracy's^democracies^democracy's
aphorisms^mannerisms,aphorisms^mannerisms
additional(0)^compositional^conditional^depositional^nontraditional^nutritional^traditional^transitional(0)^transitional(1)^unconditional^untraditional,additional(0)^conditional^nutritional^traditional^transitional(0)^transitional(1)
cangelosi^pelosi,cangelosi
spectacular^unspectacular^vernacular,spectacular^vernacular
bolivians(0)^bolivians(1),bolivians(0)^bolivians(1)
capillaries^corollaries,capillaries^corollaries
astoria^auria^coria^correa^crematoria^dauria^deloria^dorea^doria^emporia^euphoria^florea^floria^gloria^goria^gregoria^lauria^longoria^loria^moratoria^morea^moria^peoria^phantasmagoria^port-victoria^pretoria^soria^victoria^viloria^vittoria,astoria^deloria^emporia^euphoria^gregoria^longoria^peoria^pretoria^victoria^viloria^vittoria
petruccelli^petrucelli,petruccelli^petrucelli
abbruzzese^abruzzese^bruzzese,abbruzzese^abruzzese
basinski^gusinsky^jasinski^klosinski^kolasinski^kosinski^krasinski^krusinski^losinski^osinski^prusinski^rosinski^rosinsky^sosinski,kolasinski
exhibitor^inhibitor,exhibitor^inhibitor
ahmoudi^alamoudi(0)^alamoudi(1),alamoudi(0)^alamoudi(1)
rejiggering^triggering,rejiggering
alexander's^alexanders^alexander's,alexander's^alexanders^alexander's
accommodation^consolidation^degradation^depredation^fluoridation(0)^fluoridation(1)^invalidation^oxidation^predation^sedation^validation,degradation^depredation^fluoridation(0)^fluoridation(1)^oxidation^validation
degiacomo^digiacomo^prestigiacomo,degiacomo^digiacomo
accumulators^calculators^deregulators^escalators^insulators^manipulators^oscillators^percolators^purolator's^regulator's^regulators^regulators'^simulators^speculators^stimulators^violators,calculators^escalators^insulators^oscillators^percolators^purolator's^regulator's^regulators^regulators'^simulators^speculators^stimulators^violators
catatonic^diatonic^isotonic^neoplatonic^platonic,catatonic^diatonic^isotonic
appreciates^depreciates,appreciates^depreciates
arapaho^arapahoe,arapaho^arapahoe
castiglia^cerniglia^corsiglia^giglia^guariglia,castiglia^cerniglia^corsiglia^guariglia
defining^redefining^refining(1),redefining
disorient^orient^reorient,disorient^reorient
comfortable^uncomfortable,comfortable
coincidences^confidences^incidences^providence's,confidences^incidences^providence's
counterbalance(0)^counterbalance(1),counterbalance(0)^counterbalance(1)
gugliuzza^liuzza,gugliuzza
anable^attainable^explainable^obtainable^sustainable^trainable^unattainable^unexplainable^unobtainable^unsustainable,attainable^explainable^obtainable^sustainable
proximity^unanimity(0),proximity
catalonia^valonia,catalonia
fumigation(1)^instigation^mitigation,fumigation(1)^instigation^mitigation
gagliardi(0)^gagliardi(1)^giardi,gagliardi(0)^gagliardi(1)
aeriens^barbarians^bilzerian's^bulgarians^centenarians^contrarians^disciplinarians^humanitarians(0)^humanitarians(1)^hungarians^kazarian's^libertarians^librarians^marian's^marion's^parliamentarians^seminarians^totalitarians^vegetarians^veterinarians^veterinarians,barbarians^bilzerian's^bulgarians^contrarians^hungarians^kazarian's^librarians
evacuation(0)^evacuation(1)^graduation(1)^perpetuation,graduation(1)
chrismer(0)^grismer(0),chrismer(0)^grismer(0)
intersections(0)^intersections(1),intersections(0)^intersections(1)
lareina^reina,lareina
alioto^galioto^scioto,alioto^galioto
agitated^annotated(1)^irritated^necessitated^palpitated,agitated^annotated(1)^irritated^palpitated
rubalcaba^ruvalcaba,rubalcaba^ruvalcaba
clinical(1)^cynical^preclinical^rabbinical,preclinical^rabbinical
domagalski^rogalski,domagalski
ganaway^gannaway^hanaway^mcmanaway^stanaway,mcmanaway
eternity(0)^eternity(1)^fraternity(0)^modernity,eternity(0)^eternity(1)^fraternity(0)^modernity
oversubscribed^undersubscribed,oversubscribed^undersubscribed
aletti^micheletti^nicoletti(1),micheletti^nicoletti(1)
executive's^executives'^executives,executive's^executives'^executives
conservative^neoconservative^preservative^ultraconservative,conservative^preservative
apprehending^comprehending,apprehending^comprehending
d'genetta^panetta^pinetta^simonetta,d'genetta^simonetta
advisory(0)^advisory(1)^non-supervisory^supervisory,advisory(0)^advisory(1)
consecrations^desecrations(0)^desecrations(1),consecrations^desecrations(0)^desecrations(1)
commendation^fundacion(0)^inundation^recommendation,commendation^inundation
gentlemanly(0)^gentlemanly(1),gentlemanly(0)^gentlemanly(1)
extralegal^paralegal,extralegal^paralegal
confidentially(1)^exponentially(1)^potentially(1)^preferentially(0)^presidentially(0)^quintessentially^sequentially^tangentially,potentially(1)^sequentially^tangentially
matriarchy^patriarchy,matriarchy^patriarchy
overselling^underselling,overselling^underselling
amelinda^celinda^ethelinda^odelinda^selinda,amelinda^ethelinda^odelinda
supervisor's^supervisors,supervisor's^supervisors
andrzejewski^blazejewski^mierzejewski,andrzejewski^blazejewski^mierzejewski
divestitures(0)^divestitures(1),divestitures(0)^divestitures(1)
agonizes^demonizez^harmonizes^hellenizes^humanizes^immunizes^organizes^reorganizes^scrutinizes^synchronizes,agonizes^demonizez^harmonizes^hellenizes^humanizes^immunizes^organizes^scrutinizes^synchronizes
deemphasizing^emphasizing^fantasizing(0)^fantasizing(1)^overemphasizing^publicizing^romanticizing^synthesizing,emphasizing^fantasizing(0)^fantasizing(1)^publicizing^synthesizing
cardinale^cardinali^spinale,cardinale^cardinali
incidental^occidentale,incidental^occidentale
anthropogenic^hallucinogenic^orogenic^pathogenic^photogenic^telegenic,orogenic^pathogenic^photogenic^telegenic
biodegradable^degradable^persuadable^tradable^tradeable,degradable^persuadable
instituto^istituto,instituto^istituto
celebrities^celebrity's,celebrities^celebrity's
dulcinea^minea,dulcinea
heterosporous^homosporous^prosperous,homosporous
strzelecki(0)^strzelecki(1),strzelecki(0)^strzelecki(1)
maiorana^martorana^zorana,maiorana^martorana
expediting^extraditing,expediting^extraditing
convertible^nonconvertible,convertible
circularly^extracellularly^irregularly^particularly(0)^particularly(1)^popularly^regularly^similarly^singularly^spectacularly,circularly^popularly^regularly^similarly^singularly
benefited^benefitted,benefited^benefitted
