distanced^outdistanced,distanced
algata^annunciata^annunziata^arata^arcata^ata^baratta^bharata^botta^camarata^cammarata^cannata^cantata^cassata^consolata^cotta^covatta^dagata^desiderata^dolata^donata^elata^encata(0)^encata(1)^fata^fatah(0)^favata^fidata^flotta^gotta^granata^grata^harmata^hata^hirata^incata^indata^inkatha(1)^inkatha(2)^iwata^janata^jannotta^juniata^kalata^koversada^lafata^lata^licata^lopata^lotta^lysistrata^mahabharata^mariotta^marotta^mata^mendota(1)^miata^mocatta^murata^nagata^nakata^nata^nunziata^ogata^plata^reatta^regatta^renata^renate^sakata^salata^santagata^scarlata^shibata^sonata^sowata^stigmata^suata^takata^tata^teradata^traviata^vanatta^vannatta^yamagata^zapata^zlata^zlata,ata^botta^cotta^fata^fatah(0)^flotta^gotta^grata^hata^lata^lotta^mata^nata^plata^tata^zlata^zlata
boelkow^bolkow,boelkow^bolkow
fayez^momayez,fayez
focused(0)^focussed(0)^locust^refocused^unfocused,focused(0)^focussed(0)^locust
deist^fiest^freest^leist^reist,deist^fiest^freest^leist^reist
bevin^devin^evin^heavin^kevin^levin(0)^nevin^sevin^slevin,bevin^devin^evin^heavin^kevin^levin(0)^nevin^sevin^slevin
aday^intraday^today(0),aday^today(0)
campos^del-campos,campos
manship^one-up-manship,manship
doyen^oyen,doyen^oyen
approving^disapproving^improving^moving^proving^removing,moving^proving
bevers^devers^endeavor's^endeavors^endeavour's^evers^evers'^levers^mcevers^nevers^severs^whatever's^whatever's^whoever's,bevers^devers^evers^evers'^levers^nevers^severs
conjunctions^dysfunctions^functions^injunctions(0)^malfunctions,functions
dolak^krolak^podolak^polak^smolak^solak^wolak,dolak^krolak^polak^smolak^solak^wolak
drifted(1)^gifted(1)^lifted(1)^shifted(1)^sifted,drifted(1)^gifted(1)^lifted(1)^shifted(1)^sifted
walser^walzer,walser^walzer
bossard^brossard^gossard,bossard^brossard^gossard
darkness^harkness,darkness^harkness
devry^every(1)^vanevery,devry^every(1)
faithful^unfaithful,faithful
bamford^samford^stamford,bamford^samford^stamford
stempel's^temple's^temples,stempel's^temple's^temples
waldoch^waldock,waldoch^waldock
adamina^adina^albertina^albina^alcina^alina^altadena^andolina^andreana(0)^angelina^aquilina^arena^aretina^argentina^armina^athena^autolatina^avina^balbina^ballerina^bellina^bettina^bina^blazina^bovina^brezina^burkina^cadena^calvina^cantina^carena^cartagena^catalina^catena^catherina^celestina^celina^christina^cina^claudina(1)^colina^concertina^constantina^corina^corrina^cortina^covina^crispina^cristina^cyrena^davina^defina^delfina^delphina^delrina^dena^depina^dina^domina^drina^ecumena^edina^edwina^egbertina^ekaterina^elvina^emelina^emina^erina^ermina^evelina^farina^faustina^fernandina^filomena^fiorina^florentina^frisina^galena^galiena^galina^gallina^gardena^geena^gemina^georgina^geraldina^gilbertina^gina^godina^gravina^gumina^hercegovina(0)^hercegovina(1)^hermina(1)^herzegovina(0)^herzegovina(1)^hyena^ianthina^idalina^ina^indovina^irina^janina^janthina^jeana^jena^jobina^jobyna^josefina(0)^josefina(1)^josephina(1)^julina^justina^karenina(0)^katarina^katharina^katrina^keena^krajina(1)^kristina^kubena^lacina^lamartina^lamattina^lareina^larina^laspina^latina(0)^latina(1)^laudicina^lavina^leana^ledvina^leena^lena^leopoldina^levina^lina^macarena^magdalena^malaspina^malina^malvina^maralina^marcellina^marina^martina^mascarena(1)^mattina^medina(1)^melina^melvina^mena^merlina^messina^michaelina^michelina^mina(0)^molina^mozena^n'djamena^nelina^neutrogena^nicolina^nina^opalina^orangina(1)^osmena^ospina^pacyna(1)^palazina^pamelina^patina^paulina^pecina^pertamina^perugina^pesina^petrina^petrofina(0)^petrofina(1)^philina^philomena^pina^pollina^posavina(0)^posavina(1)^proserpina(1)^purina(1)^purina(2)^pyrena^queena^quina^quintina^regina^reina^rena^rendina^rina^robina^romina^rosina^rowena^rubina^rufina^sabena^sabina^sabrina^sakina^salina^salvina^sarafina^sardina^savina^scardina^schena^selena^selina^semolina^serafina^seraphina^serena^sheena^shena^shiina^slanina^spina^stena(0)^subpoena^taormina^teena^thomasina(0)^thomasina(1)^tijerina^tina^tomasina^tranchina^urbina^valentina^varina^vena^verbena^verina^vezina^vina^virina^wilhelmina^wilhemina^xena^zelina^zena^zenina^zerlina^zorina,bina^cina^dena^dina^drina^geena^gina^ina^jeana^jena^keena^leana^leena^lena^lina^mena^mina(0)^nina^pina^queena^quina^rena^rina^schena^sheena^shena^shiina^spina^stena(0)^teena^tina^vena^vina^xena^zena
drowsy^lousy,drowsy^lousy
blancett^blansett^lancit,blancett^blansett^lancit
bielen^elan^heelan^keelan^lealan^nealon^neilan^sheelen^thielen^wheelan^wheelan^wheelon^wheelon^whelan^whelan^whelan^whelan,bielen^elan^heelan^keelan^lealan^nealon^neilan^sheelen^thielen^wheelan^wheelan^wheelon^wheelon^whelan^whelan^whelan^whelan
rieth^vieth,rieth^vieth
croshaw^hoshaw,croshaw^hoshaw
gilcrease^kilcrease(0),gilcrease^kilcrease(0)
bodden^coloradan^downtrodden^godden^odden^rodden^sodden^trodden,bodden^godden^odden^rodden^sodden^trodden
cooling^dooling^drooling^dueling^duling^fooling^fruehling^fueling^fuelling^grueling(1)^huling(0)^huling(1)^nonruling^pooling^refueling(1)^retooling^ruling^schooling^tooling,cooling^dooling^drooling^dueling^duling^fooling^fruehling^fueling^fuelling^grueling(1)^huling(0)^huling(1)^pooling^ruling^schooling^tooling
pandey^velagrande,pandey
addendum^dedham^sedam^sedum,dedham^sedam^sedum
whitman's^whitman's,whitman's^whitman's
bearden^chernomyrdin^cherumirdan^dearden^oriordan(0)^oriordan(1)^rearden^reardon^riordan,bearden^dearden^rearden^reardon^riordan
navar^navarre,navar^navarre
bobeck^brobeck^robeck^sobeck,bobeck^brobeck^robeck^sobeck
fountain^mountain,fountain^mountain
apparel(0)^barrel(0)^carol(0)^carole(0)^carrel^carrol^carroll(0)^charyl^garrol^harral^harrel^harrill^jaryl^mccarrell^mccarroll^o'farrell^ofarrell(1)^parrill,barrel(0)^carol(0)^carole(0)^carrel^carrol^carroll(0)^charyl^garrol^harral^harrel^harrill^jaryl^parrill
dillard's(0)^hillard's^millard's,dillard's(0)^hillard's^millard's
dwindled^kindled^rekindled^swindled,dwindled^kindled^swindled
rundown^sundown,rundown^sundown
beatson^lauritsen(1),beatson
focused(1)^focussed(1),focused(1)^focussed(1)
bible^deibel^dible^geibel^heibel^intertribal^leibel^libel^reibel^ruybal^scheibel^scheible^seibel^sible^tribal^waibel^waibel^weibel^wible^wyble^zeibel^zweibel,bible^deibel^dible^geibel^heibel^leibel^libel^reibel^ruybal^scheibel^scheible^seibel^sible^tribal^waibel^waibel^weibel^wible^wyble^zeibel^zweibel
flounders^founder's^founders^founders'^pounders,flounders^founder's^founders^founders'^pounders
bigness^cygnus^ignace,bigness^cygnus^ignace
phnom(1)^surinam,phnom(1)
deutschemark's^deutschemarks,deutschemark's^deutschemarks
bucco^chacabuco^citrosuco^cuco^deruko^lucco^mazzucco^trabucco^trucco^truicko(0)^yuko^zucco,bucco^cuco^lucco^trucco^truicko(0)^yuko^zucco
renfro^renfroe,renfro^renfroe
hartwick^hartwig,hartwick^hartwig
donkey(1)^honky,donkey(1)^honky
ahonen^arizonan(1)^bohnen^conan^cronan^cronen^honan^koehnen^koenen^kohnen^kronen^lonon^onan^ronan^ronen^yonan,bohnen^conan^cronan^cronen^honan^koehnen^koenen^kohnen^kronen^lonon^onan^ronan^ronen^yonan
acquires^aspires^bryars^buyer's^buyers^buyers'^byars^byers^byers'^ceasefires^desires^doubtfire's^doubtfires^dryers^expires^fire's^fires(0)^fliers^flyers^friars^fryers^grier's(0)^hires(0)^hyers^i'ers^inquires^liars^meier's^meyer's^meyers^miers^myers^pliers^priors^pryor's^pyres^requires(0)^retires(1)^smyers^spiers^squiers^squires^stiers^styers^supplier's^suppliers^suppliers'^swyers^syers^tires^transpires^viars^wyers,bryars^buyer's^buyers^buyers'^byars^byers^byers'^dryers^fire's^fires(0)^fliers^flyers^friars^fryers^grier's(0)^hires(0)^hyers^i'ers^liars^meier's^meyer's^meyers^miers^myers^pliers^priors^pryor's^pyres^smyers^spiers^squiers^squires^stiers^styers^swyers^syers^tires^viars^wyers
bundy's^bundys^burundi's^sunday's^sundays^sunday's^sundays,bundy's^bundys^sunday's^sundays^sunday's^sundays
david's^davids,david's^davids
kiddies^liddy's,kiddies^liddy's
bogard^hoggard,bogard^hoggard
sarin^urdangarin,sarin
glasslike^grasslike,glasslike^grasslike
catcher's^catchers^dispatchers^snatchers^thatcher's^thatchers,catcher's^catchers^snatchers^thatcher's^thatchers
chicken^dicken^ficken^hicken^licon^picken^picon^quicken^ricken^sicken^stricken^thicken^vicon^wiccan,chicken^dicken^ficken^hicken^licon^picken^picon^quicken^ricken^sicken^stricken^thicken^vicon^wiccan
student's^students^students',student's^students^students'
kolich^nikolich,kolich
juris(0)^juris(1)^jurists(2)^puris^purists(3)^tourists(3),juris(0)^juris(1)^jurists(2)^puris^purists(3)^tourists(3)
blundall^blundell^bundle^cundall^gundel^gundle^lundell^mundell^rundall^rundell^rundle^sundell^trundle^unbundle^zundel,blundall^blundell^bundle^cundall^gundel^gundle^lundell^mundell^rundall^rundell^rundle^sundell^trundle^zundel
johnsen's^johnson's^johnsons^wisconsin's,johnsen's^johnson's^johnsons
aglo^aglow,aglo^aglow
disdainful^gainful^painful,gainful^painful
joachim(0)^jochem^jochim,jochem^jochim
asbestec^destec^mestek^presstek^questech^westech^westtech,destec^mestek^presstek^questech^westech^westtech
boutros^butros(0),boutros^butros(0)
athey^cathie^cathy^fathi^homeopathy^kathi^kathie^kathy^mathie^mathy^olathe,athey^cathie^cathy^fathi^kathi^kathie^kathy^mathie^mathy
berman's^bermans^burmans^determines(0)^determines(1)^firmans^german's^germans^germans'^herman's^hermans^sermons^sherman's^sirmans^sirmons^sturmans,berman's^bermans^burmans^firmans^german's^germans^germans'^herman's^hermans^sermons^sherman's^sirmans^sirmons^sturmans
wanted^wanted^wanted,wanted^wanted^wanted
magnate(1)^stagnate,magnate(1)^stagnate
dorcas^orcas,dorcas^orcas
afar^ghafar(0)^jaffar,afar^ghafar(0)^jaffar
junior's^juniors,junior's^juniors
dishonest^honest^pianist(1),honest
cruzan(1)^susann^susanne^suzanne,cruzan(1)^susann^susanne^suzanne
dulwich^krulwich,dulwich^krulwich
doolan^doolen^hulon^newlan^newlon^newlun^rulon^toolan^zurkuhlen,doolan^doolen^hulon^newlan^newlon^newlun^rulon^toolan
kempa^krempa^potempa,kempa^krempa
aarti^artie^arty^bartee^carty^darty^harty^hearty^marti^martie^marty^mccarty^mcclarty^mclarty^moriarty^o'smarty^parti^party^sarti^smarty^ugarte^uriarte,aarti^artie^arty^bartee^carty^darty^harty^hearty^marti^martie^marty^parti^party^sarti^smarty
aurich^laurich,aurich^laurich
stjohn^st_john,stjohn^st_john
crosley^crossley^goslee^hosley^osley,crosley^crossley^goslee^hosley^osley
dispels^misspells(1),dispels^misspells(1)
british^skittish,british^skittish
coakley^dokely^moakley^oakley^stokely,coakley^dokely^moakley^oakley^stokely
target's^targets,target's^targets
heinzman^heinzmann,heinzman^heinzmann
commish^demisch,commish^demisch
cinthie^cynthie,cinthie^cynthie
curvy^hurvey^nervy^topsy-turvy^turvy,curvy^hurvey^nervy^turvy
blasted(0)^contrasted^lasted(0)^masted(0),blasted(0)^lasted(0)^masted(0)
lamaur^paramore,lamaur
doctor's^doctors^doctors'^proctor's^proctors,doctor's^doctors^doctors'^proctor's^proctors
hignight^hignite^lignite,hignight^hignite^lignite
byland^eiland^heiland^highland^hyland^island^long-island^niland^nyland(1)^nylund(1)^pyland^reiland^rhode-island^weiland^wiland^wyland,byland^eiland^heiland^highland^hyland^island^niland^nyland(1)^nylund(1)^pyland^reiland^weiland^wiland^wyland
warsaw's^warsaws,warsaw's^warsaws
bucey^bucy^bussi(1)^bussie(1)^colussy^debussy(1)^deluise^goosey^juicy^lucey^lucie^lucy^luisi^mancusi^matusi^matussi^perusse^rafuse^russi^siracuse^susi^toussie^viscusi^zanussi,bucey^bucy^bussi(1)^bussie(1)^goosey^juicy^lucey^lucie^lucy^luisi^russi^susi^toussie
banner's^banners^danners^enchanter's^enchanters^enchanter's^enchanters^enchanter's^enchanters^enchanter's^enchanters^hanners^lanners^manners^manors^planner's^planners^planners'^scanners,banner's^banners^danners^hanners^lanners^manners^manors^planner's^planners^planners'^scanners
products'^products',products'^products'
forsberg^forsburg,forsberg^forsburg
allums^alums^hallums,allums^alums^hallums
emerge(0)^reemerge,emerge(0)
hanley's^stanley's,hanley's^stanley's
fayette^payette,fayette^payette
antley^brantley^brantly^cantley,antley^brantley^brantly^cantley
hyams^priam's(1),hyams^priam's(1)
arraign^laraine^lorain^loraine^lorraine^morain^moraine^terrain^torain,arraign^laraine^lorain^loraine^lorraine^morain^moraine^terrain^torain
"""end-quote^'end-quote","""end-quote^'end-quote"
album's^albums,album's^albums
grigas^ligas^rigas,grigas^ligas^rigas
cheyenne^cyan^diahann^diane^dianne^dyan^dyane^lyanne(1),cheyenne^cyan^diahann^diane^dianne^dyan^dyane^lyanne(1)
brinson^hinson^hynson^linson^martinsen^minson^pinson^prinsen^stinson^swinson^vinson^winson,brinson^hinson^hynson^linson^minson^pinson^prinsen^stinson^swinson^vinson^winson
fasnacht^fassnacht,fasnacht^fassnacht
ballad^invalid(2)^pallid^salad,ballad^pallid^salad
bayside^wayside,bayside^wayside
alice(1)^allis^alyce^callis^chalice^corvallis^dalis^fallis^galus^kalis^kallis^kansallis^malice(1)^mallis^rallis^sallis^salus^valis^vallis,alice(1)^allis^alyce^callis^chalice^dalis^fallis^galus^kalis^kallis^malice(1)^mallis^rallis^sallis^salus^valis^vallis
burdened^overburdened^unburdened,burdened
blueblood^trueblood,blueblood^trueblood
shrimper^simper^whimper^whimper,shrimper^simper^whimper^whimper
briefer^giefer^keefer^keifer^keiffer^kiefer^kieffer^liefer^reefer^schiefer^schieffer^schriefer^sheaffer,briefer^giefer^keefer^keifer^keiffer^kiefer^kieffer^liefer^reefer^schiefer^schieffer^schriefer^sheaffer
leacock^peacock,leacock^peacock
antitoxin^boksen^broxson^coxen^coxon^dockson^moxon^noxon^oxen^toxin^wilcoxen^wilcoxon,boksen^broxson^coxen^coxon^dockson^moxon^noxon^oxen^toxin
pascal^pascale,pascal^pascale
duthie^luthy,duthie^luthy
aton^bataan^baton(0)^bhutan(1),aton^bataan^baton(0)^bhutan(1)
amerigo^amigo^arrigo^darrigo^ego^frigo^griego^igo^igoe^latigo^mandigo^manigo^montego^oswego^pedigo^perigo^perrigo^pherigo^rigo^rodrigo^samaniego^seago^sego^steego^trigo^vigo,ego^frigo^griego^igo^igoe^rigo^seago^sego^steego^trigo^vigo
communion^disunion^nonunion^reunion^runion^soviet-union^union,runion^union
jarriel^surreal,jarriel^surreal
bresnick^lesnick^resnik^zelesnik,bresnick^lesnick^resnik
brogna^mignogna,brogna
popham^topham,popham^topham
bevis^chevis^chevys^chevys^nevis^revis^tevis,bevis^chevis^chevys^chevys^nevis^revis^tevis
bialas^gonzales^gunsalus^lalas^savalas^solace(0),lalas^solace(0)
madlock^padlock,madlock^padlock
affirms^reaffirms,affirms
henslee^hensley,henslee^hensley
coulon^dowlen^nowlan,coulon^dowlen^nowlan
drahos^tateho's,drahos
katzen^matzen,katzen^matzen
astorga^mayorga^morga^valborga^warga,morga^warga
bronston^edmonston^johnston,bronston^johnston
bronwen^unwin,bronwen^unwin
yanez^ybanez,yanez
nisei^nissei,nisei^nissei
conard^dishonored^honored,conard^honored
birchfield^burchfield,birchfield^burchfield
narcisse^tarses,narcisse^tarses
zerbe^zerbe^zerby,zerbe^zerbe^zerby
hoepfner(1)^hoepner^hoeppner^schoeppner,hoepfner(1)^hoepner^hoeppner^schoeppner
bidder^consider^fidder^kidder^reconsider^ridder^sidor^widder,bidder^fidder^kidder^ridder^sidor^widder
acclaim's^acclaims,acclaim's^acclaims
brimmer^dimmer^excimer^glimmer^grimmer^kimmer^klimer(0)^limmer^nimmer^primmer^rimmer^schwimmer^shimmer^simmer^skimmer^slimmer^swimmer^timmer^timur^trimmer^wimmer^zimmer,brimmer^dimmer^glimmer^grimmer^kimmer^klimer(0)^limmer^nimmer^primmer^rimmer^schwimmer^shimmer^simmer^skimmer^slimmer^swimmer^timmer^timur^trimmer^wimmer^zimmer
silent^violent^violent,silent^violent^violent
blalack^hallock^malak^malloch^paluch^paluck^salak^schallock,blalack^hallock^malak^malloch^paluch^paluck^salak^schallock
addle^astraddle^caddell^chadel^fadel^gradel^kadel^madel^madl^paddle^radel^saddle^schadel^shadel^stadel^straddle,addle^caddell^chadel^fadel^gradel^kadel^madel^madl^paddle^radel^saddle^schadel^shadel^stadel^straddle
beguiling^compiling^dialing(1)^dreiling^filing^fryling^kreiling^piling^reiling^smiling^styling^unsmiling^wiling,dialing(1)^dreiling^filing^fryling^kreiling^piling^reiling^smiling^styling^wiling
lockard^nockard^stockard,lockard^nockard^stockard
norberg^warburg,norberg^warburg
antiseptic^epileptic^peptic^septic^skeptic,peptic^septic^skeptic
defunding^funding^refunding,funding
vampire's^vampires,vampire's^vampires
impose^reimpose,impose
adjust^readjust^unadjust,adjust
muffles^ruffles^scuffles^shuffles^truffles,muffles^ruffles^scuffles^shuffles^truffles
kempfer^rempfer,kempfer^rempfer
amvestor^bester^brester^chester^ester^esther^fester^hester^investor^ivester^jester^kester^leicester^lester^mclester^mester^mestre^molester^nester^nestor^pester^polyester^questar^requester^rester^semester^sequester^silvester^sylvester^sylvestre^tester^testor^trester^trimester^vestar^vester^westar^wester,bester^brester^chester^ester^esther^fester^hester^jester^kester^leicester^lester^mester^mestre^nester^nestor^pester^questar^rester^tester^testor^trester^vestar^vester^westar^wester
bloodworth^cudworth,bloodworth^cudworth
ackley^bakley^blackley^blakley^hackley^jackley^kackley^mackley^rackley^shaklee^wakeley^wakley^yackley,ackley^bakley^blackley^blakley^hackley^jackley^kackley^mackley^rackley^shaklee^wakeley^wakley^yackley
eiben^psilocybin,eiben
aburto^basurto^curto^locurto,curto
accidental(0)^coincidental^compartmental^continental(0)^dental(0)^departmental(1)^detrimental(0)^developmental(0)^elemental(0)^environmental(0)^experimental(0)^experimental(1)^fundamental(0)^gentle(0)^governmental(1)^incidental^incremental(0)^instrumental(0)^intercontinental^intergovernmental^judgemental^judgmental(0)^lentil^mental^monumental(0)^monumental(2)^nongovernmental^occidental(0)^occidentale^oriental(0)^ornamental^pancontinental^parental^pimental^regimental^rental^sentell^sentimental(0)^sentimental(1)^simental^supplemental(0)^temperamental(0)^temperamental(1)^transcendental(0)^transcontinental(0)^transcontinental(1)^unsentimental^yentl,dental(0)^gentle(0)^lentil^mental^rental^sentell^yentl
barkan^darken^harken^marcon^markan^marken,barkan^darken^harken^marcon^markan^marken
wednesday^wednesday,wednesday^wednesday
bristol^christal^christel^chrystal^cristal^crystal^distal^distel^kristall^kristol^krystal^mccrystal^pistil^pistol,bristol^christal^christel^chrystal^cristal^crystal^distal^distel^kristall^kristol^krystal^pistil^pistol
embittered^frittered^glittered^littered^pittard,frittered^glittered^littered^pittard
ciros^deniro's^fierros^heroes(0)^heros^medeiros^miro's(0)^morihiro's^moruhiro's^nero's^quiros^quiroz^shapiro's^shapiros^viveiros^zeros,ciros^fierros^heroes(0)^heros^miro's(0)^nero's^quiros^quiroz^zeros
cromer's^homer's^homers,cromer's^homer's^homers
caleb^galeb(1)^mccaleb,caleb^galeb(1)
bohrer^borer^dorer^explorer^florer^horror^maurer^mourer^mowrer^restorer^rhorer^rohrer^rorer^scorer^spoarer^sporer^storer,bohrer^borer^dorer^florer^horror^maurer^mourer^mowrer^rhorer^rohrer^rorer^scorer^spoarer^sporer^storer
