diguglielmo^guglielmo,diguglielmo
abbreviated(1)^affiliated(1)^alleviated(1)^appreciated^appropriated^asphyxiated^delineated^depreciated^deviated^differentiated(0)^emaciated^enunciated^excoriated^expropriated^humiliated^infuriated(1)^initiated(1)^irradiated^mediated^misappropriated^negotiated(1)^permeated^radiated(1)^recreated(0)^renegotiated^repatriated^retaliated(0)^retaliated(1)^substantiated(0)^substantiated(1)^unaffiliated^unappreciated^undifferentiated^uninitiated^uninitiated^unsubstantiated,abbreviated(1)^affiliated(1)^alleviated(1)^appreciated^appropriated^asphyxiated^delineated^depreciated^emaciated^enunciated^excoriated^expropriated^humiliated^infuriated(1)^initiated(1)^irradiated^negotiated(1)^repatriated^retaliated(0)^retaliated(1)^substantiated(0)^substantiated(1)
demilitarized^militarized,demilitarized
demographically^geographically(1)^graphically,demographically^geographically(1)
administration's^administrations^administrations'^registrations,administration's^administrations^administrations'
billionaire^millionaire^multimillionaire(0)^multimillionaire(1),multimillionaire(0)^multimillionaire(1)
biochemical(1)^chemical(1)^demichele^electrochemical^petrochemical^photochemical(1),biochemical(1)^petrochemical^photochemical(1)
metaphysical^physical,metaphysical
departmentalize(1)^penalize(0),departmentalize(1)
ammonium^gonium^harmonium^pandemonium^plutonium^polonium^zirconium,pandemonium
affectionately^compassionately^definitely^dispassionately^disproportionately^fortunately(0)^indefinitely^indiscriminately^infinitely^inordinately^passionately^proportionately^unfortunately(0),affectionately^compassionately^dispassionately^indefinitely^inordinately^proportionately^unfortunately(0)
transcontinental's(0)^transcontinental's(1),transcontinental's(0)^transcontinental's(1)
doable^nonrenewable^renewable,nonrenewable
discriminative^imaginative,discriminative^imaginative
animations^approximations^estimations^exclamations^intimations^proclamations^summations,approximations
apriori^belfiore^defiore^delpriore^difiore(0)^fiore^fiori^migliore^montefiore(0)^priore(0),montefiore(0)
adriano^aliano^ambriano^ambrosiano^andriano^anguiano^aviano^biviano^caggiano^caltabiano^campopiano^cangiano^casciano^casiano^christiano^ciano^cipriano^cirigliano^cogliano^corigliano^cristiano^damiano^fabiano^fasciano^feliciano(0)^feliciano(1)^foppiano^gagliano(0)^gagliano(1)^galiano^galliano^giuliano^graciano^graziano^guiliano^iliano^italiano^iuliano(0)^iuliano(1)^juliano^justiniano^luciano^magliano^marciano^mariano^mastriano^miano^momigliano^ottaviano^picciano^primiano^ricigliano^rutigliano^saviano^schiano^siano^siciliano^soriano^stagliano^suriano^terracciano^tiano^triano^troiano^trupiano^uliano^valeriano^veneziano^viano^viggiano^vitagliano^viviano,ambrosiano^caltabiano^campopiano^cirigliano^corigliano^feliciano(0)^feliciano(1)^italiano^iuliano(0)^justiniano^momigliano^ottaviano^ricigliano^rutigliano^siciliano^terracciano^valeriano^veneziano^vitagliano
reliably(0)^reliably(1)^undeniably^unjustifiably,undeniably
antkowiak^bartkowiak^borowiak^franckowiak^grzeskowiak^jankowiak^janowiak^jaskowiak^mackowiak^sobkowiak^stachowiak^wachowiak^walkowiak,grzeskowiak
anticipations(0)^anticipations(1)^emancipations^occupations^participations^preoccupations,anticipations(0)^anticipations(1)^emancipations^participations^preoccupations
britannia^brittania(0)^eridania^nathania^oceania^stephania^theophania,eridania^theophania
authoritative^imitative^meditative^qualitative^rehabilitative(0)^rehabilitative(1),authoritative
overwhelmingly(0)^overwhelmingly(1),overwhelmingly(0)^overwhelmingly(1)
consolidators^liquidators,consolidators
accidentally(0)^coincidentally(0)^continentally(0)^developmentally(1)^environmentally(0)^experimentally(0)^fundamentally(0)^incidentally(0)^incrementally(0)^mentally(0)^monumentally(0)^monumentally(1)^ornamentally^temperamentally(0)^temperamentally(1),accidentally(0)^continentally(0)^fundamentally(0)^incidentally(0)^incrementally(0)^monumentally(0)^monumentally(1)^ornamentally^temperamentally(0)^temperamentally(1)
educationally(1)^educationally(3)^gravitationally^operationally(1),educationally(1)^educationally(3)^gravitationally^operationally(1)
heterodoxy^orthodoxy,heterodoxy
cetacean(0)^cogitation^decapitation^gravitation^incapacitation^interpretation^invitation^irritation^levitation^limitation^precipitation^resuscitation^sanitation(1)^solicitation^visitation^visitation,decapitation^interpretation^precipitation^resuscitation^solicitation
alliterative(0)^co-operative(0)^corroborative(0)^degenerative^federative(0)^figurative^generative^inoperative^operative^recuperative^remunerative^uncooperative^vituperative^vituperative,alliterative(0)^co-operative(0)^corroborative(0)^degenerative^inoperative^recuperative^remunerative^vituperative^vituperative
contemporaneously^curiously^enviously^erroneously^extraneously^furiously^gloriously^harmoniously^hideously^hilariously^indubiously^instantaneously^laboriously^mysteriously(0)^notoriously^obviously^precariously^previously^seriously^simultaneously^spontaneously^studiously^tediously^unceremoniously^variously^vicariously,erroneously^extraneously^harmoniously^hilariously^indubiously^laboriously^mysteriously(0)^notoriously^precariously^spontaneously^vicariously
developed^underdeveloped^undeveloped,underdeveloped
homosapiens^sapiens,homosapiens
classicism^criticism^cynicism^eroticism^gnosticism^lyricism^mysticism^narcissism^skepticism,eroticism
allocator^applicator^communicator^educator(0)^indicator^pontificater^prognosticater,communicator^pontificater^prognosticater
transcontinental(2)^transcontinental(3),transcontinental(2)^transcontinental(3)
isolationists(1)^preservationists(2)^reservationists(2)^segregationists(2),isolationists(1)^preservationists(2)^reservationists(2)^segregationists(2)
facilitator's^facilitators^prestidigitators^rehabilitators,facilitator's^facilitators
misrecognition^preignition^recognition(0),misrecognition
misinterpreted^reinterpreted,misinterpreted^reinterpreted
calderone^cerone^cerrone^ferrone^iavarone^leverone^macaroni^maroney^moroney^moroni^pepperoni^peroni^sciaroni^tucciarone,iavarone
abnormality^actuality^bisexuality^brutality(0)^commonality^confidentiality(0)^confidentiality(1)^congeniality^criticality^dimensionality^duality^extraterritoriality^fatality(0)^finality^formality^frugality^generality^geniality^homosexuality^hospitality^impersonality^irrationality^legality^lethality^liberality^locality^mentality(0)^modality^morality^mortality^municipality^musicality^nationality(0)^neutrality^normality^partiality^practicality^reality^sensuality^sexuality^spirituality^theatricality^tonality^totality^triviality^universality^unreality^vitality,abnormality^actuality^commonality^criticality^generality^geniality^hospitality^liberality^musicality^nationality(0)^partiality^practicality^sensuality^sexuality^triviality^unreality
interventionist(0)^interventionist(1),interventionist(0)^interventionist(1)
encyclopedist(0)^orthopedist,encyclopedist(0)
diianni^mariani(1)^modigliani(1)^modiliani,modigliani(1)^modiliani
collectible^delectable^detectable^electable^injectable^respectable(0)^respectable(1)^uncollectable^undetectable^unelectable,uncollectable^undetectable^unelectable
machiavelli(0)^machiavelli(1)^machivelli,machiavelli(0)
collaborationist^preservationist^reservationist^segregationist,preservationist^reservationist^segregationist
accentuated^evacuated(0)^evacuated(1)^fluctuated^graduated(1)^perpetuated,accentuated^evacuated(0)^evacuated(1)^perpetuated
unilaterally^unilaterally,unilaterally^unilaterally
geopolitics^politics^politics',geopolitics
categorical(1)^historical^metaphorical^morrical^rhetorical,categorical(1)^metaphorical
coffaro^decristofaro^lofaro,decristofaro
infestations^manifestations^protestations,manifestations
abrahamian^atamian^bahamian^barsamian^damian^damien^mesopotamian,abrahamian
categorically(1)^historically(1)^metaphorically^rhetorically,categorically(1)^metaphorically
artistically^characteristically^euphemistically^journalistically(1)^linguistically^logistically^optimistically(1)^realistically^ritualistically(1)^statistically(1)^stylistically^uncharacteristically^unrealistically,euphemistically^journalistically(1)^optimistically(1)^realistically
anatomical(0)^domical,anatomical(0)
acclimated^amalgamated^animated(1)^automated^decimated^estimated(1)^intimated^overestimated^underestimated,amalgamated
indianian^louisianian^pakistanian,indianian^pakistanian
desiderata^mahabharata^marotta,desiderata^mahabharata
denapoli^duopoly(1)^metropoli^monopoly^oligopoly^sloppily,oligopoly
constitutionist^revolutionist,constitutionist^revolutionist
aeriens^barbarians^bilzerian's^bulgarians^centenarians^contrarians^disciplinarians^humanitarians(0)^humanitarians(1)^hungarians^kazarian's^libertarians^librarians^marian's^marion's^parliamentarians^seminarians^totalitarians^vegetarians^veterinarians^veterinarians,centenarians^libertarians^seminarians^vegetarians
bilingualism^cannibalism^capitalism^centralism^colonialism^commercialism^culturalism^dualism^emotionalism(0)^emotionalism(1)^entrepreneurialism^environmentalism(0)^environmentalism(1)^evangelism(0)^evangelism(1)^factionalism^fatalism^federalism(0)^federalism(1)^feudalism^formalism^fundamentalism(0)^fundamentalism(1)^gradualism^imperialism^individualism^intellectualism(0)^intellectualism(1)^internationalism(0)^internationalism(1)^journalism^legalism^liberalism(0)^liberalism(1)^materialism^mercantilism^metabolism^minimalism^modalism^moralism^multiculturalism^multilateralism(0)^mutualism^nationalism^naturalism(0)^naturalism(1)^neutralism^nihilism^parochialism^pastoralism^paternalism^pluralism^populism^professionalism^provincialism^pugilism^racialism^radicalism^sensationalism^socialism^supernaturalism^surrealism(1)^symbolism^territorialism^tribalism(1)^unilateralism^vandalism,bilingualism^cannibalism^capitalism^commercialism^culturalism^evangelism(0)^evangelism(1)^factionalism^federalism(0)^gradualism^liberalism(0)^mercantilism^metabolism^minimalism^mutualism^nationalism^naturalism(0)^pastoralism^paternalism^provincialism^radicalism^surrealism(1)
adriana^andriana^ariana^arianna^briana(0)^brianna^christiana^christianna^cusiana^deana^deanna^fianna^georgiana^gloriana^ileana^indiana^italiana^juliana^lapiana^liliana^lilliana^louisiana^mariana^nelliana^oceana^oriana^piana^piano(1)^pollyanna^tatiana(0)^triana^viana^viviana,italiana^louisiana
alienated(0)^assassinated^carbonated(0)^chlorinated^concatenated^contaminated(0)^culminated(0)^detonated^discriminated(0)^disseminated^dominated^eliminated(0)^fascinated(0)^illuminated^laminated^nominated^originated(0)^oxygenated^procrastinated^terminated(0)^uncontaminated,alienated(0)^assassinated^concatenated^contaminated(0)^discriminated(0)^disseminated^eliminated(0)^illuminated^originated(0)^oxygenated^procrastinated
anonymously^synonymously^unanimously,anonymously^synonymously^unanimously
administrator^illustrator^telestrator^telustrator(0)^telustrator(1),administrator
abbreviated(0)^affiliated(0)^alleviated(0)^associated(0)^associated(1)^differentiated(1)^disassociated(0)^disassociated(1)^glaciated(0)^glaciated(1)^inebriated^infuriated(0)^initiated(0)^instantiated^insubstantiated(0)^insubstantiated(1)^nauseated^negotiated(0)^obviated^officiated^radiated(0)^repudiated,abbreviated(0)^affiliated(0)^alleviated(0)^associated(0)^associated(1)^inebriated^infuriated(0)^initiated(0)^instantiated^negotiated(0)^officiated^repudiated
aerodynamic^dynamic^electrodynamic^hemodynamic^photodynamic^psychodynamic,aerodynamic^hemodynamic^photodynamic^psychodynamic
counterterrorist(0)^counterterrorist(1)^terrorist,counterterrorist(0)^counterterrorist(1)
exacerbated(1)^masturbated,exacerbated(1)
agitator^facilitator^imitator^prestidigitator^rehabilitator,facilitator
banality^bestiality^brutality(1)^centrality^collegiality^conditionality^constitutionality^criminality^cyclicality^eventuality(0)^eventuality(1)^fatality(1)^functionality^heterosexuality^illegality^immorality^immortality^impartiality^individuality^informality^instrumentality^materiality^mentality(1)^mutuality^nationality(1)^originality^personality^plurality^principality^proportionality^punctuality^rationality^seasonality(1)^sentimentality(0)^sentimentality(1)^speciality^technicality^venality,criminality^cyclicality^functionality^illegality^immorality^immortality^informality^mutuality^nationality(1)^personality^principality^punctuality^rationality^seasonality(1)^speciality^technicality
classifiable^identifiable(0)^identifiable(1)^justifiable^verifiable,classifiable^justifiable^verifiable
amputated^debilitated^decapitated^facilitated^gravitated^imitated^premeditated^rehabilitated(0)^rehabilitated(1),debilitated^decapitated^facilitated^premeditated
aerolineas^ignominious^phineas^plinius,aerolineas^ignominious
auxiliary(1)^aviary^beneficiary^evidentiary(0)^evidentiary(1)^fiduciary^incendiary^intermediary(0)^intermediary(1)^judiciary^pecuniary^subsidiary^tertiary(1)^topiary,auxiliary(1)^fiduciary^incendiary^judiciary^pecuniary^subsidiary
contribution^distribution^redistribution^retribution,redistribution
appendectomy^hysterectomies^hysterectomy^lumpectomy^mastectomy^prostatectomy^tonsillectomy^vasectomy^vasectomy,appendectomy^hysterectomies^hysterectomy^prostatectomy^tonsillectomy
admirable(0)^adorabelle^answerable^comparable(0)^considerable^deliverable(0)^desirable(1)^discoverable(0)^dishonorable^favorable(0)^hon(2)^honorable^imponderable^incomparable^inexorable^innumerable^inoperable^inseparable^insufferable^intolerable^invulnerable^irreparable^maneuverable^measurable^memorable^miserable(0)^operable^pleasurable^preferable(0)^recoverable^tolerable^unalterable^unanswerable^unfavorable^venerable^vulnerable,considerable^deliverable(0)^desirable(1)^discoverable(0)^dishonorable^imponderable^incomparable^inexorable^innumerable^inoperable^inseparable^insufferable^intolerable^invulnerable^irreparable^maneuverable^recoverable^unalterable^unanswerable^unfavorable
irises^retroviruses^viruses^viruses^virus's,retroviruses
adventurism(0)^adventurism(1)^amateurism^aphorism^barbarism^boosterism^consumerism^counterterrorism(0)^counterterrorism(1)^futurism^mannerism^mesmerism^militarism^monetarism^plagiarism^secularism^terrorism^thatcherism^voluntarism,adventurism(0)^adventurism(1)^amateurism^consumerism^militarism^monetarism^secularism^voluntarism
criminalized^denationalized^fictionalized^institutionalized^internationalized(0)^internationalized(1)^marginalized^nationalized(0)^personalized^professionalized^rationalized^regionalized,denationalized^professionalized
apologetic^unapologetic,apologetic
agonizes^demonizez^harmonizes^hellenizes^humanizes^immunizes^organizes^reorganizes^scrutinizes^synchronizes,reorganizes
exploravision^spectravision^television,exploravision
communicate^excommunicate^miscommunicate,excommunicate^miscommunicate
intermediate(0)^intermediate(1),intermediate(0)^intermediate(1)
abilities^capabilities^disabilities(0)^facilities(0)^hostilities^liabilities(0)^possibilities^probabilities^responsibilities^utilities^utilities'^utility's,capabilities^disabilities(0)^liabilities(0)^possibilities^probabilities
solitariness^wariness,solitariness
incoherently^inherently(0),incoherently
carena^ekaterina^katharina^tijerina,ekaterina
dilapidated^unconsolidated,dilapidated
estuary^jan.(1)^january^mortuary^obituary^sanctuary^statuary,obituary
equitable(1)^mehitabel(0)^mehitabelle^unprofitable^veritable,unprofitable
gerrymandering^meandering^pandering^philandering(0)^philandering(1)^slandering,gerrymandering
abbreviating^affiliating^alleviating^appreciating^appropriating^asphyxiating^associating^delineating^depreciating^deviating^differentiating(0)^differentiating(1)^emaciating^enunciating^excoriating^excruciating^humiliating^inebriating^infuriating^ingratiating^initiating^instantiating^mediating^misappropriating^nauseating^negotiating^obviating^officiating^permeating^radiating^recreating(0)^renegotiating^repatriating^repudiating^retaliating,abbreviating^affiliating^alleviating^appreciating^appropriating^asphyxiating^associating^delineating^depreciating^emaciating^enunciating^excoriating^excruciating^humiliating^inebriating^infuriating^ingratiating^initiating^instantiating^negotiating^officiating^repatriating^repudiating^retaliating
experimenting(1)^implementing(1),experimenting(1)
acquisition's^acquisitions^compositions^depositions^dispositions^expositions^juxtapositions^opposition's^oppositions^physician's^positions^predispositions^propositions^suppositions,juxtapositions^predispositions
accidentally(1)^coincidentally(1)^continentally(1)^developmentally(0)^environmentally(1)^experimentally(1)^fennelly^fundamentally(1)^hennelly^incrementally(1)^kenneally^kennelly^mentally(1)^monumentally(2)^monumentally(3)^temperamentally(2)^temperamentally(3),accidentally(1)^continentally(1)^fundamentally(1)^incrementally(1)^monumentally(2)^monumentally(3)^temperamentally(2)^temperamentally(3)
annunziata^juniata^mariotta^miata^nunziata^reatta^traviata,annunziata
athanassiou^wasiyu,athanassiou
antibiotic(0)^idiotic^patriotic^semiotic^symbiotic^unpatriotic,antibiotic(0)^unpatriotic
chilean^gillian^jillian(0)^kilian^lilian(0)^liliane(1)^lilien^lillian^lilyan^maximilian^milian^sicilian,maximilian
allegorical^coracle^oracle^oratorical,allegorical^oratorical
deoliveira^oliveira,deoliveira
azerbaijani(0)^azerbaijani(1),azerbaijani(0)^azerbaijani(1)
articulated^calculated(0)^circulated(0)^correlated^crenelated^flagellated^formulated(0)^immolated^innoculated^insulated(0)^isolated(0)^matriculated^mutilated(0)^oscillated^percolated^populated^regulated(0)^speculated(0)^stimulated(0)^undulated,articulated^innoculated^matriculated
introduction(0)^overproduction^production(0)^reduction(0)^reintroduction^reproduction,overproduction^reintroduction
contemporaneous^extraneous^miscellaneous^percutaneous^simultaneous^spontaneous,miscellaneous^percutaneous^simultaneous
interrelated(1)^related(2)^unrelated^unrelated,interrelated(1)
academicians(0)^academicians(1)^commission's^commissions,academicians(0)^academicians(1)
comedian^garabedian^median,garabedian
epigenetic^frenetic^genetic^kinetic(0)^parthenogenetic^pharmakinetic^phonetic,epigenetic^pharmakinetic
ejaculation^formulation(1)^triangulation,ejaculation^triangulation
alitalia(0)^centralia^galea^ofelia^portugalia,alitalia(0)^portugalia
arthurian^burian^centurion^epicurean(1)^gurian^gurion^kurian^missourian^pagurian^timurian^venturian,epicurean(1)
cellular^intercellular^unicellular,intercellular^unicellular
fallaciously^graciously^hellaciously^ostentatiously^tenaciously,ostentatiously
low-spiritedness^poor-spiritedness^public-spiritedness^spiritedness,low-spiritedness^poor-spiritedness
cambodian^collodion^custodian^nickelodeon^odeon^odiaun,nickelodeon
anesthesiologists(0)^anthropologists(0)^apologists(0)^biologists(0)^endocrinologist's^endocrinologists(0)^entomologists(0)^gynecologists(0)^neurologists(0)^pathologists(0)^psychologists(0)^scientologists^seismologists(0)^urologists,anthropologists(0)^entomologists(0)^gynecologists(0)^scientologists
amiably^invariably^variably,invariably
aboriginal^original,aboriginal
introduces(0)^produces(1)^reintroduces^reproduces,reintroduces
ornithological^serological^teleological,serological
antigovernment(0)^antigovernment(1)^government(0),antigovernment(0)^antigovernment(1)
antireformer(0)^antireformer(1)^reformer,antireformer(0)^antireformer(1)
evangelistic^supercalifragilistic,evangelistic
misunderstanding^understanding,misunderstanding
diametrically(1)^geometrically^symmetrically,diametrically(1)^geometrically
conductor^semiconductor(0)^semiconductor(1)^semiconductor(2),semiconductor(0)^semiconductor(1)^semiconductor(2)
astoria^auria^coria^correa^crematoria^dauria^deloria^dorea^doria^emporia^euphoria^florea^floria^gloria^goria^gregoria^lauria^longoria^loria^moratoria^morea^moria^peoria^phantasmagoria^port-victoria^pretoria^soria^victoria^viloria^vittoria,crematoria^moratoria^port-victoria
bovina^covina^hercegovina(0)^hercegovina(1)^herzegovina(0)^herzegovina(1)^indovina,hercegovina(0)^hercegovina(1)^herzegovina(0)^herzegovina(1)
liable^pliable^reliable(0)^reliable(1)^undeniable^unjustifiable^unreliable^unreliable^unverifiable^viable,undeniable^unreliable^unreliable
acknowledgeable(0)^acknowledgeable(1)^eligible(1)^ineligible^manageable^negligible(1)^salvageable^unmanageable,acknowledgeable(0)^acknowledgeable(1)^ineligible^unmanageable
commingling(0)^intermingling(0)^mingling(0)^singling(0)^tingling(0),intermingling(0)
corio^degregorio^digregorio^diiorio^dilorio^diorio^dorio^florio^gregorio^iorio^jorio^lorio^oratorio^oreo^osorio^pistorio^solorio^tenorio^vittorio,degregorio^digregorio^oratorio
psychotherapist^therapist(1),psychotherapist
environmentalists'^environmentalists'^fundamentalists(1)^instrumentalists(1),fundamentalists(1)^instrumentalists(1)
aromatic^asymptomatic^automatic(0)^axiomatic^cinematic^diagrammatic^diplomatic^dramatic^emblematic^epigrammatic^idiomatic^mathematic^melodramatic^problematic^programmatic^psychosomatic^semiautomatic(0)^semiautomatic(1)^semiautomatic(2)^symptomatic^systematic^telematic^undiplomatic,asymptomatic^axiomatic^diagrammatic^epigrammatic^idiomatic^melodramatic^psychosomatic^undiplomatic
biomedicals^medical's(1),biomedicals
amelio^basilio^celio^damelio^dattilio^demilio^digilio^divirgilio^emilio^marcilio^pompilio^rogelio^trafillio,divirgilio
primitivistic^relativistic,primitivistic^relativistic
alexopoulos^antonopoulos^christopoulos^demopoulos^eliopoulos^fotopoulos^georgopoulos^panagopoulos^petropoulos^stathopoulos^stavropoulos,alexopoulos^antonopoulos^eliopoulos^panagopoulos
ethiopian^fallopian^hagopian^utopian,ethiopian
bancario^cerio^dario^desiderio^diario^dimperio^finanziario^naclerio^nerio^ontario^polisario^revolucionario^ruggerio^scenario^seminario^silverio^stereo^terrio,desiderio^polisario^seminario
competitive(0)^noncompetitive^rep.^rep(1)^uncompetitive,noncompetitive^rep.^rep(1)^uncompetitive
electrocuted^executed(1),electrocuted
americanos^chicanos^mexicanos,americanos
prolifically^scientifically(1)^specifically^terrifically,scientifically(1)
affectively^collectively^effectively(0)^objectively^prospectively^protectively(0)^protectively(1)^respectively^retrospectively^selectively,retrospectively
advocating^allocating^authenticating^communicating^complicating^deprecating^domesticating^educating(0)^equivocating^eradicating^extricating^indicating^lubricating^misallocating^pontificating^predicating(0)^prevaricating^prognosticating^reallocating^reciprocating^self-deprecating^suffocating,authenticating^communicating^domesticating^equivocating^eradicating^misallocating^pontificating^prevaricating^prognosticating^reallocating^reciprocating^self-deprecating
appropriator^aviator^conciliator^gladiator^mediator^negotiator(0)^negotiator(1)^radiator,appropriator^conciliator^negotiator(0)^negotiator(1)
reeducation(0)^reeducation(1),reeducation(0)^reeducation(1)
alphaphotographic^calligraphic^choreographic^demographic^epigraphic^ethnographic^geographic^holographic^hydrographic^lithographic^logographic^oceanographic^orographic^photographic^pornographic^stenographic^stereographic^stratigraphic^summagraphic^topographic,choreographic^oceanographic^stereographic
comicopia^cornucopia^dinotopia^ethiopia^fruitopia^hyperopia^myopia^tropea^utopia,comicopia^cornucopia^dinotopia^ethiopia^hyperopia
casamento^divertimento^sacramento,divertimento
alcoholic^nonalcoholic^workaholic,nonalcoholic
criminalist^internationalist(0)^internationalist(1)^nationalist(1)^sensationalist^traditionalist,sensationalist^traditionalist
academically^systemically,academically
incalculable^inviolable^violable,incalculable^inviolable
azerbaijanis(0)^azerbaijanis(1),azerbaijanis(0)^azerbaijanis(1)
cupidity^illiquidity^liquidity(1)^lividity^lucidity^rancidity^stupidity^validity^validity,illiquidity
ineffectual^intellectual(0)^intellectual(1),ineffectual^intellectual(0)^intellectual(1)
accelerator^carburetor^cogenerator^collaborator^decorator^evaporator(0)^evaporator(1)^generator^incinerator^moderator^operator^recuperater^refrigerator(0)^refrigerator(1)^respirator,accelerator^cogenerator^collaborator^evaporator(0)^evaporator(1)^incinerator^recuperater^refrigerator(0)^refrigerator(1)
exacerbating^masterbating^masturbating,exacerbating
superintendant(0)^superintendent(0),superintendant(0)^superintendent(0)
barberio^oliverio^serio^tiberio^valerio,oliverio
duplicated(0)^fabricated(1)^implicated^intoxicated(1)^medicated^prefabricated^replicated^syndicated^unsophisticated,intoxicated(1)^prefabricated
representatives'^representative's^representatives'^representative's^representatives(2)^representatives(3),representatives'^representative's^representatives'^representative's^representatives(2)^representatives(3)
accommodating^consolidating^invalidating^validating,accommodating^consolidating^invalidating
disinflation^hyperinflation^inflation,hyperinflation
compromises^customizes^epitomizes^itemizes^legitimizes^maximizes,epitomizes^legitimizes
abominable^actionable^determinable^fashionable(0)^fissionable^imaginable^impressionable^inalienable^interminable^objectionable^personable^questionable^reasonable(0)^seasonable^terminable^unconscionable^unfashionable^unmentionable^unquestionable,abominable^determinable^imaginable^impressionable^inalienable^interminable^objectionable^unconscionable^unfashionable^unmentionable^unquestionable
giacone^iannaccone^iannacone^morricone(1),iannaccone^iannacone
chiaro^conigliaro^finocchiaro^pagliaro,conigliaro^finocchiaro
deemphasizing^emphasizing^fantasizing(0)^fantasizing(1)^overemphasizing^publicizing^romanticizing^synthesizing,deemphasizing^romanticizing
insignificant^significant(0)^significant(1),insignificant
endotronics's^ionics's,endotronics's
antitakeover^takeover,antitakeover
antibiotics(0)^semiotics^synbiotics(0)^synbiotics(1),antibiotics(0)
debilitate^facilitate^rehabilitate(0)^rehabilitate(1),rehabilitate(0)^rehabilitate(1)
siderographer^videographer,siderographer^videographer
instantiate^insubstantiate(1)^substantiate(1),insubstantiate(1)
constitutional^institutional^unconstitutional,constitutional^institutional
accumulated^annihilated^assimilated^calculated(1)^capitulated^circulated(1)^congratulated^deregulated^emulated^encapsulated^escalated^extrapolated^formulated(1)^inoculated^insulated(1)^interpolated^isolated(1)^manipulated^miscalculated^mutilated(1)^nonregulated^overpopulated^overregulated^recalculated^reformulated^regulated(1)^simulated^speculated(1)^stimulated(1)^stipulated^tabulated^tesselated^titillated^unregulated^vacillated^ventilated^ventilated^violated,accumulated^annihilated^assimilated^capitulated^congratulated^deregulated^encapsulated^extrapolated^inoculated^interpolated^manipulated^miscalculated^nonregulated^recalculated^reformulated^unregulated
counterterrorists(1)^terrorists'(2)^terrorists(3),counterterrorists(1)
aficionado^maldonado^toronado,aficionado
agitating^annotating(1)^debilitating^facilitating^hesitating^imitating^irritating^levitating^meditating^palpitating^precipitating^rehabilitating(0)^rehabilitating(1),debilitating^facilitating^precipitating
abolitionists(1)^exhibitionists(2),abolitionists(1)^exhibitionists(2)
abbreviations^affiliations^appropriations^associations^association's^associations^aviation's^creations^denunciations^depreciations^deviations^expropriations^humiliations^miscreations^negotiations(0)^negotiations(1)^pronunciations(0)^pronunciations(1)^radiation's^reconciliations^renegotiations^variations,abbreviations^affiliations^appropriations^associations^association's^associations^denunciations^depreciations^expropriations^humiliations^negotiations(0)^negotiations(1)^pronunciations(0)^pronunciations(1)
semiannual(0)^semiannual(1)^semiannual(2),semiannual(0)^semiannual(1)^semiannual(2)
carcinogenic^psychogenic,carcinogenic
ethiopia's^utopias,ethiopia's
experiences^variances,experiences
exacerbations^perturbations,exacerbations
area^bavaria^bay-area^beria^bulgaria^echeverria^erria^feria^finanziaria^fondiaria^honoraria^hysteria^inmobiliaria^malaria^peria^pfiesteria^renteria^santeria^silveria,echeverria^fondiaria^honoraria
